ParName   Value   Gradient
MGparm[3]      272.077 2.83179e-006
MGparm[4]     0.302955 -2.02049e-005
MGparm[5]     -1.06118 -2.50524e-005
MGparm[6]    0.0881974 -7.52315e-007
MGparm[7]    0.0643223 4.52357e-007
SR_parm[1]      6.70033 -9.65547e-005
SR_parm[2]          0.5 -2.16014e-008
SR_parm[3]     0.709389  8.0335e-006
recdev1(1961)      1.29928 -1.90658e-005
recdev1(1962)    -0.292506 -1.6866e-006
recdev1(1963)     0.482439 -7.79435e-006
recdev1(1964)    -0.615525 -1.39759e-006
recdev1(1965)    -0.597608 -2.16265e-006
recdev1(1966)    -0.152389 -5.45467e-006
recdev1(1967)    -0.426923  -3.135e-006
recdev1(1968)     0.462395 -8.23546e-006
recdev1(1969)     0.158088 -4.4518e-006
recdev1(1970)    -0.422395 2.67131e-007
recdev1(1971)     0.147631 -3.73681e-006
recdev1(1972)      1.21955 -1.04305e-005
recdev1(1973)     0.418013 -2.89238e-006
recdev1(1974)    -0.300817 9.96914e-008
recdev1(1975)    -0.573194 5.40994e-007
recdev1(1976)    -0.624622 6.52462e-007
recdev1(1977)    -0.872632 1.32784e-006
recdev1(1978)    -0.475923 2.40147e-007
recdev1(1979)    -0.438705 1.89056e-007
recdev1(1980)    -0.718325 1.04394e-006
recdev1(1981)     0.382164 -1.36778e-006
recdev1(1982)   -0.0522658 2.91601e-007
recdev1(1983)    -0.322901 7.24102e-007
recdev1(1984)     0.110646 7.12651e-007
recdev1(1985)    -0.269877 1.24569e-006
recdev1(1986)      0.25007 8.66838e-007
recdev1(1987)    -0.616565 2.00131e-006
recdev1(1988)    0.0844328 1.45667e-006
recdev1(1989)     0.919842 7.95819e-007
recdev1(1990)    -0.107429 2.08741e-006
recdev1(1991)     0.475101  1.6089e-006
recdev1(1992)     -1.03542 2.20854e-006
recdev1(1993)     0.588498 1.74237e-006
recdev1(1994)      1.12176 4.56583e-007
recdev1(1995)    -0.464483 2.12056e-006
recdev1(1996)   -0.0509606 2.06342e-006
recdev1(1997)     0.219553 2.01062e-006
recdev1(1998)      0.11084 2.07775e-006
recdev1(1999)     0.287372 2.00968e-006
recdev1(2000)     0.567979 2.57117e-006
recdev1(2001)     0.350978  2.5369e-006
recdev1(2002)     0.250065  2.2565e-006
recdev1(2003)      1.40362 1.40939e-006
recdev1(2004)      -0.9661 2.33696e-006
recdev1(2005)     0.929827 2.70447e-006
recdev1(2006)    -0.600666 2.53841e-006
recdev1(2007)     0.134494 2.33292e-006
recdev1(2008)     0.679957 2.38993e-006
recdev1(2009)    -0.446631 2.62568e-006
recdev1(2010)    -0.868378 2.61503e-006
recdev1(2011)     0.055492 2.65845e-006
recdev1(2012)    -0.165655 2.66143e-006
recdev1(2013)    -0.706905 2.73433e-006
recdev1(2014)    -0.198955 2.66098e-006
recdev1(2015)    0.0740743 2.68586e-006
recdev1(2016)     0.200592 2.70436e-006
init_F[1]    0.0117212 4.78335e-007
init_F[2]   0.00213205 7.42325e-007
Q_parm[7]     -4.96814 -1.08872e-006
Q_parm[9]     -4.21844 -1.71122e-006
Q_parm[10]     -6.31678 -1.32681e-006
Q_parm[11]       -6.753 -1.09072e-006
Q_parm[14]    0.0692436 5.38042e-007
Q_parm[15]    -0.107244 8.86841e-007
Q_parm[16]    -0.229265 5.26104e-007
Q_parm[17]   -0.0571839 1.14631e-006
selparm[1]      217.548 -2.3111e-007
selparm[2]     -11.5493 -7.15699e-010
selparm[3]      7.14594 -1.09978e-006
selparm[4]      5.53687 -7.87271e-007
selparm[6]     -2.58524 -4.21436e-007
selparm[7]      212.091 -7.85973e-007
selparm[8]     -11.5735 -2.39338e-009
selparm[9]      8.05499 3.98125e-007
selparm[10]      7.09164 -6.97877e-007
selparm[12]     -2.35152 -1.02734e-006
selparm[13]      242.405 -4.34675e-005
selparm[14]     -11.6789 -2.81096e-008
selparm[15]      7.42615 4.57201e-007
selparm[18]    -0.142123 -7.50129e-007
