"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 9+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,4679.6,2349.99,43283,38806.6,0.471816
2022,4713.23,4713.23,41351.8,38471.4,0.467741
2023,4398.09,4398.09,39154.7,35977.8,0.437424
2024,4320.62,4320.62,37806,33854.9,0.411612
2025,4695.66,4695.66,36992.7,32720.3,0.397819
2026,5083.58,5083.58,44696.4,33199.1,0.40364
2027,5259.86,5259.86,44546.3,35802.4,0.435291
2028,5216.76,5216.76,43887.3,37766.1,0.459166
2029,5059.71,5059.71,43005.2,37688.3,0.45822
2030,4886.07,4886.07,42093.9,36930.8,0.44901
