"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,1.01271,0.904972347741021,1.12044765225898,0.0508967,0.0416887304017113,0.0601046695982887
2012,0.896452,0.795629492671275,0.997274507328725,0.0492992,0.0406869810544521,0.0579114189455479
2013,0.743633,0.653743759766235,0.833522240233765,0.0443756,0.037108876730199,0.051642323269801
2014,0.772451,0.67990894851316,0.86499305148684,0.0463452,0.0386217071236019,0.0540686928763981
2015,0.84737,0.747749146590197,0.946990853409803,0.0514967,0.0430842405837564,0.0599091594162436
2016,0.861848,0.759239181495765,0.964456818504235,0.04854,0.040493211064352,0.056586788935648
2017,0.83297,0.730895271681552,0.935044728318448,0.0442003,0.0368135289361459,0.0515870710638541
2018,0.870507,0.763623500045483,0.977390499954517,0.0501028,0.041792827100508,0.058412772899492
2019,0.962896,0.844214104847748,1.08157789515225,0.0559691,0.0464945948994537,0.0654436051005463
2020,0.90634,0.789122393940598,1.0235576060594,0.0516722,0.0426428419196224,0.0607015580803776
