ParName   Value   Gradient
MGparm[3]      273.744 2.07359e-006
MGparm[4]     0.296552 -1.03233e-005
MGparm[5]     -1.00413 -1.28715e-005
MGparm[6]    0.0924993 -2.82326e-007
MGparm[7]     0.063884 -6.76294e-008
SR_parm[1]      6.67476 -4.97537e-005
SR_parm[2]     0.536953 -1.36996e-006
SR_parm[3]     0.681615 4.00349e-006
recdev1(1961)      1.32282 -6.09404e-006
recdev1(1962)    -0.354193 -1.03947e-006
recdev1(1963)     0.467753 -3.74987e-006
recdev1(1964)    -0.546037 -1.60142e-006
recdev1(1965)    -0.619145 -1.44241e-006
recdev1(1966)    -0.136244 -3.97596e-006
recdev1(1967)    -0.399581 -1.79581e-006
recdev1(1968)     0.355788 -4.48995e-006
recdev1(1969)     0.264674 -3.15501e-006
recdev1(1970)    -0.456628 -6.37046e-007
recdev1(1971)   -0.0331066 -2.26469e-006
recdev1(1972)      1.21095 -8.95655e-006
recdev1(1973)     0.460869 -3.37965e-006
recdev1(1974)    -0.332971 -1.1913e-006
recdev1(1975)    -0.599253 -2.00852e-007
recdev1(1976)    -0.647318 2.49498e-007
recdev1(1977)    -0.941634 9.29928e-007
recdev1(1978)    -0.538079 1.61052e-007
recdev1(1979)    -0.475347 7.41214e-008
recdev1(1980)    -0.842712 1.07742e-006
recdev1(1981)      0.30981 3.96131e-007
recdev1(1982)   -0.0633663 4.15092e-007
recdev1(1983)    -0.437097 7.10964e-007
recdev1(1984)    0.0529787 4.11459e-007
recdev1(1985)    -0.337229 7.08657e-007
recdev1(1986)     0.179849 1.74299e-007
recdev1(1987)    -0.604782 1.24849e-006
recdev1(1988)    -0.140964 1.20831e-006
recdev1(1989)     0.880417 2.93026e-010
recdev1(1990)    -0.174794 9.34405e-007
recdev1(1991)      0.42026 6.15487e-007
recdev1(1992)     -1.02322 1.31454e-006
recdev1(1993)     0.364343  7.9266e-007
recdev1(1994)      1.11119 5.53981e-007
recdev1(1995)    -0.412731 1.25592e-006
recdev1(1996)    -0.167122 1.26516e-006
recdev1(1997)     0.228537 1.37368e-006
recdev1(1998)   0.00600011 1.61378e-006
recdev1(1999)     0.251807 1.56636e-006
recdev1(2000)     0.442778 1.51527e-006
recdev1(2001)     0.362509 1.69002e-006
recdev1(2002)   -0.0177486 1.51262e-006
recdev1(2003)      1.36319 7.73211e-007
recdev1(2004)    -0.996922  1.2437e-006
recdev1(2005)     0.899827 1.05944e-006
recdev1(2006)     -0.47129 1.48812e-006
recdev1(2007)   -0.0634909 1.52262e-006
recdev1(2008)     0.902846 1.98029e-006
recdev1(2009)     0.255346 1.69918e-006
recdev1(2010)    -0.956791 1.55709e-006
recdev1(2011)     0.344308 1.77749e-006
recdev1(2012)    0.0277251 1.59152e-006
recdev1(2013)    -0.848628 1.57698e-006
recdev1(2014)    -0.115022 1.11912e-006
recdev1(2015)    0.0174145 1.27659e-006
recdev1(2016)    0.0647431 1.40043e-006
recdev1(2017)      1.18472 1.47724e-006
init_F[1]    0.0120862 3.15303e-007
init_F[2]   0.00229265 -2.50953e-007
Q_parm[8]     -4.25182 -7.40531e-007
Q_parm[9]     -6.34696 -7.60513e-007
Q_parm[10]     -6.79963 -3.36154e-007
Q_parm[14]     -0.10347 4.10761e-007
Q_parm[15]    -0.207738  2.1374e-007
Q_parm[16]    -0.034473 7.51162e-007
selparm[1]      223.298 -1.14764e-006
selparm[2]     -11.6951 -3.31587e-008
selparm[3]      7.10724 -2.07152e-007
selparm[4]      5.75981 -1.76101e-006
selparm[6]     -3.28445 -7.83744e-007
selparm[7]      213.371 -1.0307e-006
selparm[8]     -11.6608 -2.95476e-008
selparm[9]      8.02758 1.40479e-006
selparm[10]      7.09824 -4.76727e-007
selparm[12]     -2.58698 -2.38116e-007
selparm[13]      242.583 -4.00381e-006
selparm[14]     -11.8556 -2.27328e-009
selparm[15]      7.48551 3.92133e-007
selparm[18]     0.337203 -6.02402e-007
selparm[19]      232.714 6.93789e-007
selparm[20]     -11.8928 1.32638e-007
selparm[21]      6.59696 -6.36418e-007
selparm[22]      6.18453 -5.40125e-008
selparm[24]     -3.65732 -6.56464e-008
selparm[25]      74.4615 -1.15367e-005
selparm[27]      4.74321 5.96523e-006
selparm[31]      212.893 -4.22604e-007
selparm[32]     -2.29692 -1.84767e-007
selparm[33]      6.86112 -3.47693e-007
selparm[36]     -4.09981 -9.16531e-008
selparm[37]      124.905 -4.86331e-007
selparm[38]     -2.29065 -5.28131e-007
selparm[40]      7.41932 -7.80524e-007
selparm[43]      269.689  1.8069e-007
selparm[44]     -12.1231 -3.59434e-008
selparm[45]       7.8262 -6.30572e-008
selparm[46]      4.93671 7.08668e-008
selparm[48]     -2.57753 -4.25922e-008
selparm[49]      191.911 -8.24075e-007
selparm[50]      -1.3118 -2.28394e-007
selparm[51]      5.71962  2.0436e-007
selparm[52]      7.36134  4.0098e-008
selparm[54]     -3.12736 1.03099e-007
selparm[57]      111.848 -3.45295e-008
selparm[58]     -1.91323  4.9259e-007
selparm[60]     -3.07538 1.77071e-008
selparm[63]      194.369 -2.79103e-007
selparm[64]     -0.24991 -6.08676e-008
selparm[65]      6.65669 7.36921e-007
selparm[68]     -1.77596 1.62741e-007
selparm[71]      209.989 -8.02058e-007
selparm[72]     -3.26324 -2.04044e-007
selparm[73]      6.59829  1.0572e-006
selparm[74]       7.7421 -9.40127e-007
selparm[76]     -3.76818 -3.39402e-007
selparm[79]      247.562  3.8618e-007
selparm[80]     -11.4831 1.64272e-008
selparm[81]      7.29801 -1.90555e-007
selparm[82]      6.45325 -3.58632e-007
selparm[84]     -3.13623 1.77956e-007
selparm[85]      244.588 5.70194e-008
selparm[86]      14.4473 -1.11473e-008
selparm[99]      165.364 -4.82014e-006
selparm[102]     -3.32661 -1.23877e-006
selparm[104]      7.47712 -3.65153e-006
selparm[105]     -6.28599 3.86904e-007
selparm[106]      83.7813 -7.56256e-007
selparm[107]     -1.16279 8.03803e-009
selparm[110]      295.733 1.65652e-007
selparm[111]     -6.11284 -4.93584e-010
selparm[113]      1.46846 -1.18156e-009
parm_dev[1](2011)    -0.753137 -6.77794e-006
parm_dev[1](2012)     0.366716 -5.39504e-006
parm_dev[1](2013)     0.457508 -5.70353e-006
parm_dev[1](2014)    0.0293153 -4.9637e-006
parm_dev[1](2015)     0.048403 -1.68298e-006
