ParName   Value   Gradient
MGparm[3]      272.145 -1.61774e-006
MGparm[4]     0.302242 1.63106e-005
MGparm[5]     -1.05711 2.00071e-005
MGparm[6]    0.0880461 6.55593e-007
MGparm[7]    0.0641692 -4.12264e-007
SR_parm[1]      6.70061 7.73131e-005
SR_parm[2]          0.5 -2.08768e-009
SR_parm[3]     0.706394 -6.42594e-006
recdev1(1961)      1.29918 1.44404e-005
recdev1(1962)     -0.28852 1.46112e-006
recdev1(1963)     0.479841 5.77946e-006
recdev1(1964)    -0.616862 1.06427e-006
recdev1(1965)     -0.59356 1.82904e-006
recdev1(1966)    -0.153782 5.29413e-006
recdev1(1967)    -0.427784 3.05661e-006
recdev1(1968)     0.463149 8.35393e-006
recdev1(1969)     0.155036 3.74862e-006
recdev1(1970)    -0.422597 2.13136e-006
recdev1(1971)     0.157674 1.98623e-006
recdev1(1972)      1.21666 1.17611e-005
recdev1(1973)     0.412725 3.21794e-006
recdev1(1974)    -0.301615 5.96304e-007
recdev1(1975)    -0.575079 -2.45629e-007
recdev1(1976)    -0.625611 -7.17214e-007
recdev1(1977)    -0.871043 -1.08355e-006
recdev1(1978)    -0.473113 -9.17812e-007
recdev1(1979)    -0.439318 -8.22982e-007
recdev1(1980)    -0.715771 -1.20601e-006
recdev1(1981)     0.382356 -2.17895e-007
recdev1(1982)   -0.0556093 -1.06926e-006
recdev1(1983)    -0.320807 -1.03961e-006
recdev1(1984)     0.108713 -5.76918e-007
recdev1(1985)    -0.267615 -1.16099e-006
recdev1(1986)      0.24752 -9.80901e-007
recdev1(1987)    -0.617757 -1.84728e-006
recdev1(1988)    0.0962795 -1.46656e-006
recdev1(1989)     0.924345 -6.60581e-007
recdev1(1990)    -0.113026 -1.47787e-006
recdev1(1991)     0.463672 -1.16753e-006
recdev1(1992)     -1.04565 -1.85303e-006
recdev1(1993)     0.567717 -1.04421e-006
recdev1(1994)      1.10497 -9.91942e-007
recdev1(1995)     -0.43371 -1.90714e-006
recdev1(1996)   -0.0301568 -1.83519e-006
recdev1(1997)     0.223784 -1.88927e-006
recdev1(1998)     0.119455 -1.97718e-006
recdev1(1999)     0.281033 -2.01342e-006
recdev1(2000)     0.553584 -1.88377e-006
recdev1(2001)     0.326821 -1.9571e-006
recdev1(2002)     0.235337 -1.95663e-006
recdev1(2003)      1.41459 -1.84842e-006
recdev1(2004)    -0.931654 -1.87423e-006
recdev1(2005)      0.94675 -2.0481e-006
recdev1(2006)    -0.613333 -2.00727e-006
recdev1(2007)     0.134178 -1.99528e-006
recdev1(2008)     0.670397 -1.92637e-006
recdev1(2009)    -0.448346 -1.98207e-006
recdev1(2010)    -0.865709 -1.98094e-006
recdev1(2011)    0.0571985 -1.87353e-006
recdev1(2012)    -0.165058 -2.07294e-006
recdev1(2013)    -0.704904 -2.09244e-006
recdev1(2014)    -0.198345 -2.11975e-006
recdev1(2015)    0.0738045 -2.07561e-006
recdev1(2016)     0.199562 -2.10071e-006
init_F[1]    0.0117272 -1.25465e-006
init_F[2]   0.00213301 -4.27877e-007
Q_parm[8]     -6.31553 1.77984e-006
Q_parm[9]     -6.75183 1.49949e-006
Q_parm[13]    -0.229855 -1.09685e-006
Q_parm[14]   -0.0577504 -1.40871e-006
selparm[1]      217.522 1.53603e-007
selparm[2]     -11.5573 -3.51182e-009
selparm[3]      7.14751 -1.93619e-007
selparm[4]      5.53913 2.29226e-007
selparm[6]     -2.57879 5.23472e-007
selparm[7]      212.161 5.87772e-007
selparm[8]     -11.5638 -8.44062e-009
selparm[9]      8.05619 -7.27954e-007
selparm[10]      7.09206 3.00909e-007
selparm[12]     -2.35314 3.10763e-007
selparm[13]      242.405 4.80246e-005
selparm[14]     -11.6957 9.78029e-009
selparm[15]      7.42418 -5.28585e-007
selparm[18]    -0.142099 5.68568e-007
selparm[19]      232.145 3.23119e-008
selparm[20]     -11.7766 -8.11145e-009
selparm[21]      6.62738 1.92204e-008
selparm[22]      6.24075 1.30955e-007
selparm[24]     -3.46655 -8.54258e-008
selparm[25]      74.2845 1.65019e-005
selparm[27]       4.7561 -7.48353e-006
selparm[31]      212.798 7.71032e-007
selparm[32]     -2.36297 3.97499e-007
selparm[33]      6.87433 -2.73172e-007
selparm[36]     -3.89816 3.78382e-007
selparm[37]       125.22 5.73871e-007
selparm[38]      -2.3023  2.4122e-007
selparm[40]      7.41652 6.63545e-007
selparm[43]       272.65 -3.23484e-007
selparm[44]     -11.8502 -4.77029e-009
selparm[45]      7.91784 -1.40677e-008
selparm[46]      4.51581 -7.39301e-008
selparm[48]       -2.293 1.20425e-007
selparm[49]      192.216 1.14271e-006
selparm[50]     -1.23379 1.59224e-006
selparm[51]      5.78157 -4.77424e-007
selparm[52]      7.25483   7.223e-007
selparm[54]     -2.63585 6.03389e-007
selparm[57]      113.352  1.5106e-007
selparm[58]     -1.96384   1.708e-006
selparm[60]     -3.13357 -1.24612e-008
selparm[63]      192.752 6.45827e-008
selparm[64]    -0.223248 1.48396e-006
selparm[65]      6.64082 7.03065e-007
selparm[68]     -1.65996 1.91492e-007
selparm[71]      207.886 3.93508e-007
selparm[72]     -11.7148 -4.40575e-009
selparm[73]      6.51445   1.322e-007
selparm[74]      7.76076   1.027e-007
selparm[76]     -3.06358 9.51318e-008
selparm[79]      256.617  5.9955e-007
selparm[80]     -11.1583 9.11942e-010
selparm[81]       7.5164 3.34755e-007
selparm[82]      5.89012 7.10808e-007
selparm[84]     -2.67792 5.02992e-007
selparm[85]      246.083 -1.04597e-007
selparm[86]      15.6068 6.05793e-009
selparm[99]      165.139 6.12603e-006
selparm[102]     -3.33137 1.04759e-006
selparm[104]      7.44454 5.23414e-006
selparm[105]     -6.07963 4.03381e-007
selparm[106]      83.8141 7.74707e-007
selparm[107]     -1.16326 1.96637e-007
selparm[110]      298.125 -9.79933e-007
selparm[111]     -6.03792 -3.95577e-009
selparm[113]      1.55286 3.14806e-010
parm_dev[1](2011)    -0.686377 -5.00878e-007
parm_dev[1](2012)     0.381792 -1.42428e-006
parm_dev[1](2013)     0.485167 -1.86659e-006
parm_dev[1](2014)    0.0360313 -7.84449e-007
parm_dev[1](2015)    0.0421372 1.12323e-006
