"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","239100","219320.631457217","258879.368542783"
"Unfished Age 9+ Biomass (mt)","256104","234977.156217846","277230.843782154"
"Unfished Recruitment (R0)","786.226","720.491747904503","851.960252095497"
"2021 Spawning Biomass (mt)","40232.5","33076.6126935247","47388.3873064753"
"2021 Fraction Unfished","0.493801","0.408628805087827","0.578973194912173"
"Reference Points Based SB-99900\%","","",""
"Proxy Spawning Biomass (mt) SB-99900\%",NA,NA,NA
"SPR Resulting in SB-99900\%",NA,NA,NA
"Exploitation Rate Resulting in SB-99900\%",NA,NA,NA
"Yield with SPR Based On SB-99900\% (mt)",NA,NA,NA
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR40)","58358.7","49477.9659885701","67239.4340114299"
"SPR40","0.4","",""
"Exploitation Rate Corresponding to SPR40","0.0771116","0.0736200025601013","0.0806031974398987"
"Yield with SPR40 at SB SPR (mt)","4887.65","4093.08452059543","5682.21547940457"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","81475","71160.5523338791","91789.4476661209"
"SPR MSY","0.476738","0.429602042150202","0.523873957849798"
"Exploitation Rate Corresponding to SPR MSY","0.0605861","0.0505067500138246","0.0706654499861754"
"MSY (mt)","5126.74","4587.86750209056","5665.61249790944"
