"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,23425.3,19191.3466013169,27659.2533986831,0.287515,0.239987245349693,0.335042754650307
2012,25032.4,20543.4944862079,29521.3055137921,0.30724,0.256620990153276,0.357859009846724
2013,27668.2,22770.0148069563,32566.3851930437,0.339592,0.284042700750166,0.395141299249834
2014,30288.8,24981.6095226624,35595.9904773376,0.371755,0.311234448099778,0.432275551900222
2015,32363.9,26730.5323163553,37997.2676836447,0.397224,0.332635542849866,0.461812457150135
2016,33855.2,27947.0257660829,39763.3742339171,0.415528,0.347488634262286,0.483567365737714
2017,35052.1,28931.0932770017,41173.1067229983,0.430219,0.359343370380258,0.501094629619742
2018,37457.6,30981.8985947195,43933.3014052805,0.459743,0.384032139230398,0.535453860769602
2019,39582.5,32745.2440384914,46419.7559615086,0.485824,0.405197157564374,0.566450842435626
2020,40020.6,33003.8309371474,47037.3690628526,0.491201,0.408107542889831,0.574294457110169
2021,40232.5,33076.6126935247,47388.3873064753,0.493801,0.408628805087827,0.578973194912173
