"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,0.996977,0.893249042060593,1.10070495793941,0.0502549,0.0414713802022033,0.0590384197977967
2012,0.879307,0.782653140069993,0.975960859930007,0.0488798,0.0405740410230748,0.0571855589769252
2013,0.729243,0.643281135598456,0.815204864401544,0.0440804,0.037060005003776,0.051100794996224
2014,0.758215,0.6697628053597,0.8466671946403,0.0460818,0.0386151016048564,0.0535484983951436
2015,0.828988,0.734200613772471,0.923775386227529,0.0511107,0.043006484119605,0.059214915880395
2016,0.838153,0.741256300532309,0.935049699467691,0.0478529,0.0401806013828781,0.0555251986171219
2017,0.806016,0.710207276540127,0.901824723459873,0.043257,0.0362902884173125,0.0502237115826875
2018,0.841045,0.740739335173998,0.941350664826002,0.0486877,0.0409524865389744,0.0564229134610256
2019,0.928565,0.816896639970026,1.04023336002997,0.0540112,0.0452945933726355,0.0627278066273645
2020,0.869368,0.759721930809274,0.979014069190726,0.0495412,0.0413151919576057,0.0577672080423943
