"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1950,271390,218789,234670,0.915052279381012,771.453,1017.3,0.186468,0.00433502365023224
1951,271101,218505,234380,0.913864491844417,771.231,1122.8,0.241905,0.00479051113576244
1952,270687,218289,234162,0.912961104140527,771.063,693.5,0.102097,0.00296162485800429
1953,270729,218133,234048,0.912308657465496,770.94,1084,0.253612,0.00463152857533497
1954,270337,218144,234030,0.912354663320786,770.949,823,0.209056,0.00351664316540614
1955,270133,218236,234063,0.912739439565036,771.021,544,0.132591,0.00232416058924307
1956,270164,218371,234137,0.913304056879967,771.127,247,0.0632256,0.0010549379209608
1957,270501,218584,234356,0.914194897532413,771.293,546,0.143344,0.00232978886821758
1958,270517,218701,234493,0.914684232538687,771.384,1207,0.333061,0.00514727518518676
1959,269733,218612,234196,0.91431200334588,771.315,1649,0.499331,0.00704111086440417
1960,268266,218115,233529,0.912233375156838,770.927,1032,0.283876,0.00441915136878075
1961,267250,217637,232950,0.910234211626934,2605.83,1620,0.527941,0.00695428203477141
1962,268013,216922,232114,0.907243831033041,475.408,5799,1.41803,0.0249834133227638
1963,261819,214875,229467,0.898682559598494,1081.04,13838,1.78828,0.0603049675988268
1964,246468,208474,220977,0.871911334169803,380.571,18608,1.87438,0.0842078587364296
1965,222569,196585,205183,0.822187369301547,349.978,14167,1.86668,0.0690456811724168
1966,201089,182858,188029,0.764776244249268,556.3,8080,1.71835,0.0429720947300682
1967,185485,169684,173107,0.709677959012965,410.591,5940,1.64898,0.0343140369829065
1968,171887,156805,159206,0.655813467168549,868.111,3176,1.16982,0.0199489968971019
1969,162260,145187,147073,0.607222919280636,739.562,3012,1.33741,0.0204796257640763
1970,153560,134989,140817,0.564571309075701,356.066,5466,1.82529,0.0388163360957839
1971,142345,126375,130619,0.528544542032622,532.482,6591,1.88402,0.0504597340356303
1972,129927,118044,123075,0.493701380175659,1773.39,3948,1.78184,0.032078001218769
1973,121929,110376,114056,0.461631116687578,811.39,3871,1.76093,0.033939468331346
1974,113776,102716,104816,0.429594312003346,359.558,5389.98,1.85933,0.0514232559914517
1975,104288,94694.3,96142.1,0.396044751150146,267.391,5072.38,1.66048,0.0527591970635133
1976,95065,85404.8,86254.9,0.357192806357173,242.833,5880,1.70829,0.0681700401948179
1977,85467.4,74948.5,75662.9,0.313460895023003,171.508,6695.35,1.76902,0.0884892067314364
1978,75622.7,64378.7,65147.2,0.269254286909243,237.473,5765.1,1.75292,0.088493442542427
1979,67534.9,55295.4,55960,0.231264742785445,233.258,6255.03,1.84563,0.111776804860615
1980,59500.4,47221.1,48148.8,0.197495190296947,149.571,5783.48,1.82246,0.120116804572492
1981,52265.5,40836.4,45299.7,0.170792137181096,430.737,5769.96,1.84317,0.127373028960457
1982,45727.1,36633.8,40715.6,0.15321539104977,275.228,1660.01,1.16857,0.0407708593266463
1983,43697.9,35637.5,38395.4,0.149048515265579,188.302,2554.24,1.48432,0.0665246357636592
1984,40929.1,33476.7,35100,0.140011292346299,293.353,2301.18,1.45783,0.0655606837606838
1985,38857.5,30883.2,32036.1,0.129164366373902,187.205,2674.24,1.61118,0.0834758288306005
1986,36614.7,27911.4,28743,0.116735257214555,295.707,2329.36,1.50199,0.0810409491006506
1987,35244.7,25095.9,26189.8,0.104959849435383,122.651,2501.91,1.54049,0.0955299391366105
1988,33902.2,22813.2,24272.2,0.0954127979924718,187.891,2901.96,1.59672,0.119559001656216
1989,32489.2,20758.8,22044.9,0.0868205771643664,476.583,2764.52,1.54366,0.125404061710418
1990,31850.9,19120.9,22254.5,0.0799703053115851,157.032,2780.33,1.56706,0.124933384259363
1991,31070.6,18681.4,22066.1,0.0781321622751987,279.091,2928.93,1.58596,0.13273437535405
1992,30347.4,18593.9,21279.3,0.0777662066081138,64.8019,2296.34,1.36923,0.107914264097033
1993,30074.8,18533.3,21690.9,0.077512756168967,265.561,2384.1,1.39269,0.109912451765487
1994,30028.3,18523.8,21129.1,0.0774730238393977,546.212,2112.87,1.28352,0.0999981068762986
1995,30759,18531.1,21592.4,0.0775035549979088,116.555,2447.95,1.38512,0.113370908282544
1996,30833.7,18308.7,20425.2,0.076573400250941,149.149,2511.6,1.44518,0.122965748193408
1997,30925.8,17996.5,19976.3,0.0752676704307821,218.792,2334.3,1.33931,0.116853471363566
1998,31330.4,17947.2,22510.2,0.0750614805520703,178.607,2657,1.39217,0.118035379516841
1999,31381.6,18547.3,21848.1,0.0775713090757005,232.489,2771.75,1.39347,0.126864578613243
2000,31386.8,18724.3,21951.8,0.0783115851108323,285.447,2774.82,1.39978,0.126405123953389
2001,31499.1,18352.5,20032.1,0.0767565872020075,257.562,2784.4,1.45386,0.138996909959515
2002,31573.8,17917.3,20393.3,0.0749364282726892,180.453,3318.57,1.581,0.162728445126586
2003,30900.3,17987.1,23776.6,0.075228356336261,687.587,2305.37,1.32227,0.0969596157566683
2004,31822,19434.3,23252.7,0.0812810539523212,67.7623,2124.54,1.296,0.0913674541021043
2005,32281.8,20671.6,23111.1,0.0864558762024258,480.866,1756.44,1.1114,0.0759998442306943
2006,33706.8,20949.6,23477,0.0876185696361355,129.757,1811.44,1.12009,0.0771580696000341
2007,34900.3,21018.4,23380.1,0.0879063153492263,199.459,1637.78,1.04996,0.0700501708718098
2008,36505.6,21435.5,24211.2,0.089650773734839,538.243,1999.52,1.12434,0.0825865715040973
2009,38321.6,21900.4,25535.6,0.0915951484734421,292.215,1979.66,1.08002,0.0775254938203919
2010,40049.4,22531.6,26390,0.0942350480970305,87.6037,1857.45,1.00963,0.0703846153846154
2011,41809.5,23425.3,26488.5,0.0979728147218737,341.228,2006.78,0.996977,0.0757604243350888
2012,43740,25032.4,32597.1,0.104694270179841,253.17,1753.96,0.879307,0.0538072405213961
2013,45819.2,27668.2,32025.7,0.115718109577583,111.061,1481.45,0.729243,0.0462581614141143
2014,47925.7,30288.8,36620.4,0.126678377248013,241.114,1626.52,0.758215,0.0444156808773252
2015,49890.1,32363.9,36775.7,0.135357172731075,283.543,1841.7,0.828988,0.0500792642968047
2016,51521.7,33855.2,37341.4,0.141594312003346,310.094,1900.89,0.838153,0.0509056971618632
2017,52932.3,35052.1,42339.2,0.146600167294019,1073.58,1849.6,0.806016,0.0436852845589903
2018,55240.5,37457.6,44354.5,0.156660811375993,378.761,2026.47,0.841045,0.0456880361631853
2019,56670.8,39582.5,43192.7,0.165547887913007,378.761,2305.42,0.928565,0.0533752231279823
2020,57935.9,40020.6,44719.8,0.16738017565872,378.761,2177.62,0.869368,0.0486947616044794
2021,59595.5,40232.5,45146,0.168266415725638,378.761,2349.98918,0.896862,0.0520530983918841
2022,61481.8,40208.3,43349.8,0.168165202843998,378.761,4964.097695,1.38963,0.114512585871215
2023,61047.4,37703,41053.7,0.157687160184023,378.761,4621.287598,1.38963,0.112566896479489
2024,61207.8,35491.1,39579.9,0.148436219155165,378.761,4517.466387,1.38963,0.114135366360198
2025,61734.4,34255.2,38644.8,0.143267252195734,378.761,4876.74995,1.38963,0.126194208535172
