"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 9+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,4917.91,2349.99,45146,40232.5,0.493801
2022,4964.1,4964.1,43349.8,40208.3,0.493505
2023,4621.29,4621.29,41053.7,37703,0.462756
2024,4517.47,4517.47,39579.9,35491.1,0.435608
2025,4876.75,4876.75,38644.8,34255.2,0.420439
2026,5256.75,5256.75,46432.5,34660,0.425407
2027,5429.75,5429.75,46235,37251.3,0.457212
2028,5383.75,5383.75,45524.1,39212.7,0.481286
2029,5222.52,5222.52,44588.8,39099.1,0.479891
2030,5044.09,5044.09,43626.1,38294,0.47001
