"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2006.78","1753.96","1481.45","1626.52","1841.7","1900.89","1849.6","2026.47","2305.42","2177.62","NA"
"(1-SPR)/(1-SPR_MSY)","0.996977","0.879307","0.729243","0.758215","0.828988","0.838153","0.806016","0.841045","0.928565","0.869368",NA
"Fill in F method","0.0502549","0.0488798","0.0440804","0.0460818","0.0511107","0.0478529","0.043257","0.0486877","0.0540112","0.0495412",NA
"Age 9+ Biomass (mt)","26488.5","32597.1","32025.7","36620.4","36775.7","37341.4","42339.2","44354.5","43192.7","44719.8","234356"
"Spawning Biomass (mt)","23425.3","25032.4","27668.2","30288.8","32363.9","33855.2","35052.1","37457.6","39582.5","40020.6","40232.5"
"Lower Interval","19191.3466013169","20543.4944862079","22770.0148069563","24981.6095226624","26730.5323163553","27947.0257660829","28931.0932770017","30981.8985947195","32745.2440384914","33003.8309371474","33076.6126935247"
"Upper Interval","27659.2533986831","29521.3055137921","32566.3851930437","35595.9904773376","37997.2676836447","39763.3742339171","41173.1067229983","43933.3014052805","46419.7559615086","47037.3690628526","47388.3873064753"
"Recruits","341.228","253.17","111.061","241.114","283.543","310.094","1073.58","378.761","378.761","378.761","378.761"
"Lower Interval","252.517651319051","168.153474292857","61.8478070697524","152.165637758088","163.418659617005","151.003302465697","613.027875024845","284.62756774764","284.62756774764","284.62756774764","284.62756774764"
"Upper Interval","461.10260956326","381.169935200813","199.433840994379","382.057091551933","491.967276181442","636.79593271044","1880.13312829092","504.026704989434","504.026704989434","504.026704989434","504.026704989434"
"Fraction Unfished","0.287515","0.30724","0.339592","0.371755","0.397224","0.415528","0.430219","0.459743","0.485824","0.491201","0.493801"
"Lower Interval","0.239987245349693","0.256620990153276","0.284042700750166","0.311234448099778","0.332635542849866","0.347488634262286","0.359343370380258","0.384032139230398","0.405197157564374","0.408107542889831","0.408628805087827"
"Upper Interval","0.335042754650307","0.357859009846724","0.395141299249834","0.432275551900222","0.461812457150135","0.483567365737714","0.501094629619742","0.535453860769602","0.566450842435626","0.574294457110169","0.578973194912173"
