"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,22760.5,18618.8609049887,26902.1390950113,0.281569,0.234857766345652,0.328280233654348
2012,24321.8,19933.2838414961,28710.3161585039,0.300885,0.25115796976264,0.35061203023736
2013,26920,22131.1807972936,31708.8192027064,0.333026,0.278433555167418,0.387618444832582
2014,29545.5,24351.8698359267,34739.1301640733,0.365507,0.305944086502625,0.425069913497375
2015,31689.9,26163.6051488307,37216.1948511693,0.392034,0.328290091330804,0.455777908669196
2016,33268.8,27455.5860211339,39082.0139788661,0.411567,0.344205585804538,0.478928414195462
2017,34553.1,28512.5693982069,40593.6306017931,0.427456,0.357078201232331,0.497833798767669
2018,37065.3,30652.2978425849,43478.3021574151,0.458534,0.383094006253061,0.533973993746939
2019,39298.2,32506.0624094155,46090.3375905845,0.486158,0.405575060757628,0.566740939242372
2020,39815.6,32830.445156218,46800.754843782,0.492557,0.409339869162406,0.575774130837594
2021,40071.5,32938.1522793469,47204.8477206531,0.495724,0.410317589391675,0.581130410608325
