"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1950,270273,217931,233705,0.914661887654031,771.302,1017.3,0.18677,0.00435292355747631
1951,269984,217647,233416,0.913469932511836,771.083,1122.8,0.24137,0.00481029578092333
1952,269570,217431,233198,0.912563375079743,770.916,693.5,0.101979,0.00297386770040909
1953,269611,217276,233087,0.911912836181714,770.796,1084,0.253162,0.00465062401592538
1954,269220,217288,233066,0.911963200483497,770.806,823,0.208793,0.00353118859035638
1955,269016,217380,233097,0.912349326797166,770.877,544,0.1324,0.00233379236970017
1956,269048,217513,233170,0.912907531141927,770.98,247,0.0631376,0.00105931294763477
1957,269387,217724,233389,0.913793103448276,771.143,546,0.143288,0.00233944187600958
1958,269405,217841,233526,0.914284155390659,771.233,1207,0.332169,0.00516858936478165
1959,268624,217752,233231,0.913910620152436,771.164,1649,0.497513,0.00707024366400693
1960,267162,217257,232568,0.911833092703891,770.782,1032,0.283137,0.0044374118537374
1961,266153,216782,231993,0.909839505758319,2620.6,1620,0.526185,0.00698296931372929
1962,266942,216071,231162,0.906855420877682,478.661,5799,1.41136,0.0250863031121032
1963,260774,214027,228521,0.898276701473995,1085.53,13838,1.77811,0.0605546098608005
1964,245463,207627,220043,0.871415740523117,382.548,18608,1.86268,0.0845652895115955
1965,221618,195745,204279,0.821546687707753,354.473,14167,1.85505,0.0693512304250559
1966,200203,182044,187173,0.764043246147131,555.773,8080,1.70631,0.0431686194055767
1967,184653,168913,172307,0.708932108921197,420.795,5940,1.64155,0.0344733527947211
1968,171119,156090,158482,0.655113655441023,842.068,3176,1.16741,0.0200401307403995
1969,161506,144536,146432,0.606621226874391,760.358,3012,1.33195,0.0205692744755245
1970,152863,134401,140190,0.564084376993587,359.092,5466,1.8155,0.0389899422212711
1971,141681,125826,130035,0.528094886344559,539.332,6591,1.87267,0.0506863536740108
1972,129305,117513,122480,0.493205016284458,1775.24,3948,1.7723,0.0322338340953625
1973,121344,109853,113486,0.461055803646375,819.35,3871,1.75001,0.0341099342650195
1974,113239,102203,104285,0.428948561259779,357.094,5389.98,1.8449,0.0516850937335187
1975,103792,94207.5,95636.6,0.39539124668435,268.606,5072.38,1.65194,0.053038062833685
1976,94602.6,84950.7,85802.5,0.356540224289024,244.398,5880,1.70052,0.0685294717519886
1977,85031.6,74533.6,75256.9,0.312819393613807,172.285,6695.35,1.76071,0.088966593096447
1978,75203.2,64002.5,64775.4,0.268620102071652,240.272,5765.1,1.74544,0.0890013801535768
1979,67126.3,54949.7,55607.2,0.230625272806635,234.354,6255.03,1.83622,0.112485973039463
1980,59097.4,46894.5,47809.2,0.196817395829836,150.044,5783.48,1.81412,0.120970022506129
1981,51867.1,40514.9,44916.1,0.170042054191989,432.814,5769.96,1.83359,0.128460841435476
1982,45337.8,36303,40350.4,0.152364603968707,275.005,1660.01,1.1681,0.0411398647844879
1983,43318.4,35296.4,38024.6,0.148139878454152,188.03,2554.24,1.47978,0.0671733561957259
1984,40561.6,33136.6,34741.4,0.13907514353826,291.248,2301.18,1.45424,0.0662373997593649
1985,38499.1,30551.3,31694.4,0.12822457442165,188.89,2674.24,1.60571,0.0843757887828765
1986,36268,27595.7,28420,0.115819846892523,300.306,2329.36,1.49865,0.0819619985925405
1987,34909.8,24799,25890.3,0.104082026659504,125.442,2501.91,1.53922,0.0966350331977613
1988,33572.3,22535.3,23986.4,0.0945812208306752,191.353,2901.96,1.59457,0.120983557349165
1989,32163.6,20495.6,21770.6,0.0860205486351274,479.559,2764.52,1.54239,0.126984097819996
1990,31528.5,18868.3,21984,0.0791907296108518,157.758,2780.33,1.5703,0.126470614992722
1991,30745.8,18430.9,21784.5,0.0773549508108653,281.256,2928.93,1.58635,0.134450182469187
1992,30023.5,18337.7,20997.9,0.0769637880670181,65.3423,2296.34,1.37056,0.109360459855509
1993,29748,18271.8,21401.2,0.076687204109727,272.436,2384.1,1.39081,0.111400295310543
1994,29707.9,18258.1,20845.7,0.0766297048651916,542.412,2112.87,1.28314,0.101357594132123
1995,30434.8,18261.1,21285.1,0.0766422959406373,112.079,2447.95,1.3831,0.115007681429733
1996,30505.5,18030.5,20119.4,0.0756744619413759,148.537,2511.6,1.44109,0.124834736622364
1997,30599,17711.8,19673.1,0.0743368700265252,214.659,2334.3,1.3369,0.118654406270491
1998,31001,17660.3,22181.1,0.0741207232313736,173.634,2657,1.38892,0.119786665223997
1999,31045.6,18254.9,21527.8,0.0766162743847161,226.476,2771.75,1.3906,0.128752125159097
2000,31036.1,18433.8,21655,0.0773671221837961,280.992,2774.82,1.39633,0.12813761256061
2001,31125.3,18079,19757.4,0.0758780176610818,255.647,2784.4,1.45121,0.140929474526
2002,31168.4,17670.6,20193.1,0.0741639525904039,178.125,3318.57,1.57881,0.164341780113009
2003,30452.3,17764.5,23514.7,0.0745580532518551,684.879,2305.37,1.32454,0.0980395242125139
2004,31321.6,19200.5,22941,0.0805849813652083,68.7568,2124.54,1.3005,0.0926088662220479
2005,31727.4,20393.6,22779.3,0.0855924520699728,490.083,1756.44,1.11646,0.0771068470058343
2006,33107.5,20628,23081,0.0865762347647987,130.796,1811.44,1.12625,0.0784818682032841
