"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
2007,34250.5,20644.3,22912.4,0.0866446462747205,201.121,1637.78,1.05616,0.0714800719261186
2008,35812.5,20993.7,23649.5,0.0881110868616325,547.586,1999.52,1.13091,0.0845480876974143
2009,37606.6,21378.4,24885.2,0.0897256824362892,296.767,1979.66,1.08858,0.079551701412888
2010,39324.9,21928.9,25685.7,0.0920361447805795,88.3531,1857.45,1.01905,0.072314556348474
2011,41090.9,22760.5,25745.5,0.0955263908941342,344.384,2006.78,1.00161,0.077946825658853
2012,43051.4,24321.8,31769.1,0.102079206258604,248.07,1753.96,0.884551,0.0552096219282259
2013,45168.1,26920,31220.1,0.112983916999631,110.069,1481.45,0.733333,0.0474518018840426
2014,47330,29545.5,35930.2,0.124003206527214,240.37,1626.52,0.759979,0.0452688824442948
2015,49357.4,31689.9,36140.4,0.133003307255817,283.801,1841.7,0.828421,0.0509595909287114
2016,51054.3,33268.8,36771.1,0.139629990262902,309.991,1900.89,0.835844,0.0516952171678302
2017,52524.9,34553.1,41916.9,0.145020229661216,1069.35,1849.6,0.803099,0.0441254004947885
2018,54877.6,37065.3,44038.4,0.155563996239465,376.942,2026.47,0.836843,0.0460159769655573
2019,56341.8,39298.2,42943.1,0.164935533693718,376.942,2305.42,0.922873,0.0536854581993382
2020,57625.3,39815.6,44540.9,0.16710707450559,376.942,2177.62,0.863925,0.0488903457271856
2021,59286.1,40071.5,44926.3,0.168181093241111,376.942,2349.98918,0.891969,0.0523076500846943
2022,61155.4,40048,43135.9,0.168082463150119,376.942,4946.989037,1.38109,0.114683802517161
2023,60705.8,37535.4,40847,0.15753701776181,376.942,4597.383261,1.38109,0.112551307586848
2024,60844.7,35327.3,39390.8,0.148269566531243,376.942,4484.597151,1.38109,0.113848846710399
2025,61349,34099.3,38467.5,0.143115619648793,376.942,4834.067066,1.38109,0.125666265444856
2026,61570.6,34500.9,46171,0.144801144948461,376.942,5209.181098,1.38109,0.112823657663902
2027,61261.7,37064.5,45963.8,0.155560638619347,376.942,5382.350032,1.38109,0.117099761812557
2028,60524.1,38999.3,45246.9,0.163681042876809,376.942,5339.74487,1.38109,0.118013496394228
2029,59579.9,38873.4,44305.3,0.163152637410603,376.942,5180.951852,1.38109,0.116937518807005
2030,58610.4,38060.3,43335.7,0.159740036262297,376.942,5002.759386,1.38109,0.115441988614468
