"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,344.384,255.373558430533,464.419026718703,0.452461,0.162168774285788,0.742753225714212
2012,248.07,164.08515178095,375.041399127648,0.0766117,-0.336258633271331,0.489482033271331
2013,110.069,61.2861685424332,197.682202185828,-0.807366,-1.39070812075467,-0.224023879245328
2014,240.37,151.725937300174,380.803295257902,-0.0898165,-0.545935398554192,0.366302398554192
2015,283.801,163.609840480954,492.287061488677,0.0297096,-0.523031603064048,0.582450803064048
2016,309.991,151.010870968971,636.341075741131,0.0676225,-0.662642440963763,0.797887440963763
2017,1069.35,610.72675745631,1872.37485264726,1.18814,0.633695588233387,1.74258441176661
2018,376.942,283.227611009761,501.664618281524,0,0,0
2019,376.942,283.227611009761,501.664618281524,0,0,0
2020,376.942,283.227611009761,501.664618281524,0,0,0
2021,376.942,283.227611009761,501.664618281524,0,0,0
