"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,1.00161,0.898813220949648,1.10440677905035,0.0518177,0.0426996927486017,0.0609357072513983
2012,0.884551,0.788451417884821,0.980650582115179,0.0503231,0.0417597429565867,0.0588864570434133
2013,0.733333,0.647684533839584,0.818981466160416,0.0450697,0.0378928410788901,0.0522465589211098
2014,0.759979,0.672128514302953,0.847829485697047,0.0470611,0.039435722920668,0.054686477079332
2015,0.828421,0.734564008675932,0.922277991324068,0.0519224,0.0437020758531609,0.0601427241468391
2016,0.835844,0.740030180633767,0.931657819366233,0.0485247,0.0407472493151075,0.0563021506848925
2017,0.803099,0.708355712962123,0.897842287037877,0.0437182,0.036681066911348,0.050755333088652
2018,0.836843,0.73776936853468,0.93591663146532,0.0489943,0.0412204948481188,0.0567681051518812
2019,0.922873,0.812743799687085,1.03300220031291,0.0542902,0.0455370400443238,0.0630433599556762
2020,0.863925,0.755754979686031,0.972095020313969,0.049831,0.041559187599287,0.058102812400713
