"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2006.78","1753.96","1481.45","1626.52","1841.7","1900.89","1849.6","2026.47","2305.42","2177.62","NA"
"(1-SPR)/(1-SPR_MSY)","1.00161","0.884551","0.733333","0.759979","0.828421","0.835844","0.803099","0.836843","0.922873","0.863925",NA
"Fill in F method","0.0518177","0.0503231","0.0450697","0.0470611","0.0519224","0.0485247","0.0437182","0.0489943","0.0542902","0.049831",NA
"Age 9+ Biomass (mt)","25745.5","31769.1","31220.1","35930.2","36140.4","36771.1","41916.9","44038.4","42943.1","44540.9","233389"
"Spawning Biomass (mt)","22760.5","24321.8","26920","29545.5","31689.9","33268.8","34553.1","37065.3","39298.2","39815.6","40071.5"
"Lower Interval","18618.8609049887","19933.2838414961","22131.1807972936","24351.8698359267","26163.6051488307","27455.5860211339","28512.5693982069","30652.2978425849","32506.0624094155","32830.445156218","32938.1522793469"
"Upper Interval","26902.1390950113","28710.3161585039","31708.8192027064","34739.1301640733","37216.1948511693","39082.0139788661","40593.6306017931","43478.3021574151","46090.3375905845","46800.754843782","47204.8477206531"
"Recruits","344.384","248.07","110.069","240.37","283.801","309.991","1069.35","376.942","376.942","376.942","376.942"
"Lower Interval","255.373558430533","164.08515178095","61.2861685424332","151.725937300174","163.609840480954","151.010870968971","610.72675745631","283.227611009761","283.227611009761","283.227611009761","283.227611009761"
"Upper Interval","464.419026718703","375.041399127648","197.682202185828","380.803295257902","492.287061488677","636.341075741131","1872.37485264726","501.664618281524","501.664618281524","501.664618281524","501.664618281524"
"Fraction Unfished","0.281569","0.300885","0.333026","0.365507","0.392034","0.411567","0.427456","0.458534","0.486158","0.492557","0.495724"
"Lower Interval","0.234857766345652","0.25115796976264","0.278433555167418","0.305944086502625","0.328290091330804","0.344205585804538","0.357078201232331","0.383094006253061","0.405575060757628","0.409339869162406","0.410317589391675"
"Upper Interval","0.328280233654348","0.35061203023736","0.387618444832582","0.425069913497375","0.455777908669196","0.478928414195462","0.497833798767669","0.533973993746939","0.566740939242372","0.575774130837594","0.581130410608325"
