"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 9+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,4909.98,2349.99,44926.3,40071.5,0.495724
2022,4946.99,4946.99,43135.9,40048,0.495433
2023,4597.38,4597.38,40847,37535.4,0.464349
2024,4484.6,4484.6,39390.8,35327.3,0.437033
2025,4834.07,4834.07,38467.5,34099.3,0.421842
2026,5209.19,5209.19,46171,34500.9,0.426809
2027,5382.34,5382.34,45963.8,37064.5,0.458524
2028,5339.75,5339.75,45246.9,38999.3,0.48246
2029,5180.95,5180.95,44305.3,38873.4,0.480902
2030,5002.76,5002.76,43335.7,38060.3,0.470843
