ParName   Value   Gradient
MGparm[3]       273.53 -1.86474e-007
MGparm[4]     0.295163 1.00648e-006
MGparm[5]    -0.987814 1.56499e-006
MGparm[6]    0.0938999 1.65433e-007
MGparm[7]    0.0638224 -3.4775e-008
SR_parm[1]      6.67247 6.62946e-006
SR_parm[2]     0.525872 7.14738e-008
SR_parm[3]     0.651938 -5.61312e-007
recdev1(1961)       1.3086 2.04213e-006
recdev1(1962)    -0.316455 8.90296e-007
recdev1(1963)      0.44025 5.91067e-007
recdev1(1964)    -0.510868 6.57787e-007
recdev1(1965)    -0.620226 -5.75743e-007
recdev1(1966)    -0.177028 4.13632e-007
recdev1(1967)    -0.378403 1.18003e-007
recdev1(1968)     0.307229 1.80442e-006
recdev1(1969)     0.292898 2.06792e-006
recdev1(1970)    -0.460552 -1.56552e-007
recdev1(1971)   -0.0721606 -5.73942e-007
recdev1(1972)      1.19975 1.97716e-007
recdev1(1973)      0.46959 2.79946e-007
recdev1(1974)    -0.342096 -2.9049e-008
recdev1(1975)    -0.604136 1.00171e-007
recdev1(1976)     -0.64504 -1.5574e-007
recdev1(1977)    -0.940947 -3.12923e-007
recdev1(1978)    -0.537905 -3.54133e-007
recdev1(1979)    -0.468734 -5.26035e-007
recdev1(1980)    -0.851201 -2.53716e-007
recdev1(1981)     0.309364 -1.72784e-007
recdev1(1982)   -0.0428427 -8.77091e-008
recdev1(1983)    -0.439641 -5.83204e-008
recdev1(1984)    0.0600748 -8.11482e-009
recdev1(1985)    -0.321218 1.04678e-007
recdev1(1986)     0.175757 5.13627e-007
recdev1(1987)    -0.555172 -6.41167e-009
recdev1(1988)    -0.172085 3.20223e-008
recdev1(1989)     0.900101 2.51544e-007
recdev1(1990)    -0.156157 1.23302e-007
recdev1(1991)     0.424885 1.74235e-007
recdev1(1992)    -0.962014 -9.28526e-008
recdev1(1993)     0.332711 8.74442e-008
recdev1(1994)      1.13337 2.76486e-008
recdev1(1995)    -0.412811 -2.30988e-007
recdev1(1996)    -0.221338 -3.18842e-007
recdev1(1997)     0.242851 -2.65774e-007
recdev1(1998)  0.000344989 -2.28265e-007
recdev1(1999)     0.267164 -3.55097e-007
recdev1(2000)     0.443729 -4.38172e-007
recdev1(2001)     0.401165 -3.78356e-007
recdev1(2002)   -0.0274353 -2.26394e-007
recdev1(2003)      1.38427 -8.67444e-007
recdev1(2004)    -0.964833 -1.69328e-007
recdev1(2005)     0.890189 -2.39412e-007
recdev1(2006)    -0.363543 -2.64637e-007
recdev1(2007)   -0.0361554 -8.98405e-008
recdev1(2008)     0.986107  6.4105e-008
recdev1(2009)     0.348522 -2.17525e-007
recdev1(2010)    -0.860618 -2.35776e-007
recdev1(2011)     0.310302 -1.11902e-007
recdev1(2012)     0.036278 -2.62086e-007
recdev1(2013)    -0.722631 -1.12473e-007
recdev1(2014)   -0.0913641 -2.70073e-007
recdev1(2015)     0.280452 -2.77101e-007
recdev1(2016)     0.487968 -7.7073e-008
recdev1(2017)    -0.158322 -1.72939e-007
init_F[1]    0.0120524 -5.40561e-007
