"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,316.833,233.785483170468,429.381450583073,0.379302,0.0862187855718031,0.672385214428197
2012,236.509,157.168179563155,355.902239476681,0.0401178,-0.366561007044169,0.446796607044169
2013,106.154,59.2401915882006,190.220041729988,-0.832538,-1.41268341949589,-0.252392580504113
2014,234,147.724898889646,370.661956187251,-0.106284,-0.561340598074571,0.348772598074572
2015,278.001,160.33282776554,482.025777740386,0.0194012,-0.532211063808953,0.571013463808953
2016,305.047,148.87733237799,625.035864914229,0.0631301,-0.664586887783861,0.790847087783861
2017,1049.98,599.830648924002,1837.94876500164,1.18518,0.631762609361286,1.73859739063871
2018,368.283,276.196583225974,491.071853622573,0,0,0
2019,368.283,276.196583225974,491.071853622573,0,0,0
2020,368.283,276.196583225974,491.071853622573,0,0,0
2021,368.283,276.196583225974,491.071853622573,0,0,0
