"Year","Spawning Biomass (mt)","Lower Interval","Upper Interval","Fraction Unfished","Lower Interval","Upper Interval"
2011,23235.5,18920.7960851538,27550.2039148462,0.282928,0.235356146160041,0.330499853839959
2012,24779,20207.678000658,29350.321999342,0.301722,0.251090250387377,0.352353749612623
2013,27402.8,22411.1049252539,32394.4950747461,0.333671,0.278052318025113,0.389289681974887
2014,30070.9,24651.952376264,35489.847623736,0.366159,0.305416580176728,0.426901419823272
2015,32227.4,26458.5204064642,37996.2795935358,0.392418,0.327373263234265,0.457462736765735
2016,33753.6,27688.8246437182,39818.3753562818,0.411002,0.342299774442714,0.479704225557286
2017,34871.3,28584.2647278713,41158.3352721287,0.424611,0.353014887619541,0.496207112380459
2018,37063.9,30420.8372700796,43706.9627299204,0.451309,0.374980162586072,0.527637837413928
2019,38901.7,31903.491796081,45899.908203919,0.473688,0.39265093710241,0.55472506289759
2020,39076.8,31911.1716725216,46242.4283274784,0.47582,0.392536622379729,0.559103377620271
2021,39011.8,31724.5167080012,46299.0832919988,0.475028,0.389955959247437,0.560100040752563
