"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1950,272116,219346,235266,0.915272625609741,773.588,1017.3,0.18836,0.0043240417229859
1951,271826,219062,234977,0.914087569006597,773.361,1122.8,0.243447,0.00477834000774544
1952,271411,218847,234759,0.913190431085203,773.189,693.5,0.102798,0.00295409334679395
1953,271451,218692,234648,0.912543657234896,773.064,1084,0.255344,0.00461968565681361
1954,271057,218704,234628,0.912593730049113,773.074,823,0.210605,0.00350768024276727
1955,270850,218795,234659,0.912973448890261,773.147,544,0.133524,0.00231825755670995
1956,270876,218929,234731,0.913532595315688,773.254,247,0.0636721,0.0010522683412076
1957,271209,219139,234950,0.914408869564492,773.422,546,0.144556,0.00232389870185146
1958,271219,219255,235086,0.914892906768593,773.515,1207,0.33528,0.00513429128063772
1959,270429,219164,234782,0.914513187927445,773.442,1649,0.502487,0.00702353672768781
1960,268956,218664,234110,0.912426820668389,773.042,1032,0.285802,0.00440818418692068
1961,267935,218180,233525,0.910407217161623,2595.5,1620,0.531445,0.00693715876244513
1962,268674,217459,232682,0.907398675574064,481.53,5799,1.42919,0.0249224263157442
1963,262475,215406,230030,0.898832051608381,1086.63,13838,1.80457,0.0601573707777246
1964,247117,209007,221549,0.872130723426983,383.907,18608,1.89115,0.0839904490654438
1965,223211,197135,205780,0.822592019227961,352.622,14167,1.88312,0.0688453688405093
1966,201719,183423,188637,0.765375483515612,552.043,8080,1.73065,0.0428335904408997
1967,186085,170254,173706,0.710424742646599,422.084,5940,1.66438,0.0341957099927464
1968,172470,157372,159804,0.656671576584283,837.407,3176,1.18177,0.0198743460739406
1969,162767,145746,147672,0.608159365076716,760.347,3012,1.35063,0.0203965545262474
1970,154042,135529,141317,0.565526536505168,359.682,5466,1.84362,0.0386789982804617
1971,142779,126862,131085,0.529361446436693,536.84,6591,1.90176,0.0502803524430713
1972,130322,118471,123480,0.494348031095218,1777.14,3948,1.79905,0.0319727891156463
1973,122289,110752,114424,0.462138693349913,818.782,3871,1.77626,0.0338303153184647
1974,114115,103047,105148,0.429987773887862,355.02,5389.98,1.87301,0.0512608894130178
1975,104602,94991.3,96424.9,0.396373476430309,267.315,5072.38,1.67413,0.0526044621254469
1976,95356.3,85669.7,86525.1,0.357476914346279,244.033,5880,1.72291,0.0679571592520552
1977,85740.7,75193.2,75919.5,0.313761261167281,172.045,6695.35,1.7842,0.0881901224323132
1978,75879.2,64610.9,65390.4,0.269604132676267,239.339,5765.1,1.76835,0.0881643176980107
1979,67776.3,55514.6,56180.6,0.231647687679167,234.03,6255.03,1.86265,0.111337899559634
1980,59726.4,47423.1,48347,0.197884006325866,149.755,5783.48,1.83935,0.119624382071276
1981,52476.8,41021.2,45488.2,0.171170577214366,432.17,5769.96,1.85969,0.126845203811098
1982,45925.7,36809.9,40925.3,0.153597940338242,276.266,1660.01,1.17885,0.0405619506759877
1983,43885,35814,38577.9,0.149442314031654,188.456,2554.24,1.49599,0.0662099284823694
1984,41104.7,33646.7,35267.6,0.140398746510551,292.85,2301.18,1.4694,0.0652491238417131
1985,39021.2,31039.7,32193.6,0.129520427621833,189.084,2674.24,1.62439,0.0830674419760449
1986,36769.7,28056.5,28889.5,0.117072326007402,300.445,2329.36,1.51353,0.0806299866733588
1987,35395.4,25232.1,26331.7,0.105286854634448,125.931,2501.91,1.55507,0.0950151338500742
1988,34046.8,22941.3,24405.3,0.0957279544003572,190.837,2901.96,1.61168,0.118906958734373
1989,32630.3,20879.3,22166.7,0.0871237758240107,485.44,2764.52,1.55766,0.124715000428571
1990,31999.4,19234.1,22375.2,0.0802587929948133,157.608,2780.33,1.5872,0.124259447960242
1991,31218.7,18789.9,22183.4,0.0784052643218681,280.088,2928.93,1.6035,0.132032510796361
1992,30499.5,18701.4,21395.2,0.0780359773170152,65.3179,2296.34,1.38167,0.107329681423871
1993,30228.9,18642,21816.8,0.0777881168866393,265.893,2384.1,1.40268,0.109278170950827
1994,30185.4,18636.1,21258.9,0.0777634977529825,541.66,2112.87,1.29253,0.0993875506258555
1995,30913.8,18644.6,21702.1,0.0777989659963864,117.96,2447.95,1.39491,0.112797839840384
1996,30992.8,18416.3,20531.5,0.0768463307059015,152.186,2511.6,1.45555,0.122329104059616
1997,31091.2,18098.4,20076.2,0.0755198184025938,219.022,2334.3,1.34844,0.116272003666032
1998,31497.9,18053.2,22661.5,0.0753312108023751,176.028,2657,1.40159,0.117247313725923
1999,31544.9,18672.4,22002.1,0.0779149680159899,227.793,2771.75,1.40278,0.125976611323465
2000,31538.5,18868.2,22115,0.0787319894346362,278.291,2774.82,1.40919,0.125472303866154
2001,31629.7,18503.5,20195.6,0.0772101931558808,254.437,2784.4,1.46405,0.137871615599438
2002,31680.5,18066.6,20551.4,0.0753871254449178,173.647,3318.57,1.59451,0.1614765904026
2003,30970.4,18121.8,23872.8,0.0756174603903176,693.264,2305.37,1.33528,0.0965688984953587
2004,31864,19543,23350.4,0.081547750687458,70.6674,2124.54,1.31043,0.0909851651363574
2005,32288.5,20764.2,23228.7,0.0866434940809761,492.938,1756.44,1.12327,0.0756150796213305
2006,33687.2,21043,23585.2,0.0878068524646256,126.52,1811.44,1.13303,0.0768040974848634
2007,34837.9,21104.5,23446.9,0.0880634756374895,194.89,1637.78,1.06286,0.0698505985865935
2008,36401,21488.4,24204.5,0.0896653884189926,517.167,1999.52,1.13802,0.082609432130389
2009,38156.6,21887.8,25415.6,0.0913319785855265,273.141,1979.66,1.09447,0.0778915311855711
2010,39823.3,22429,26196.3,0.0935902625067285,83.0795,1857.45,1.02509,0.0709050514767353
2011,41535.3,23235.5,26189.7,0.0969555728955857,316.833,2006.78,1.01039,0.0766247799707518
2012,43384.1,24779,32330.6,0.103396188624291,236.509,1753.96,0.894,0.0542507717147223
2013,45365.8,27402.8,31790.7,0.114344609452913,106.154,1481.45,0.74165,0.0466001063204019
2014,47358.3,30070.9,36549.3,0.125477882420687,234,1626.52,0.770349,0.044502083487235
2015,49172.9,32227.4,36684.8,0.134476384408995,278.001,1841.7,0.844557,0.0502033539776692
2016,50625,33753.6,37196.8,0.140844811830537,305.047,1900.89,0.858285,0.0511035895560908
2017,51832.8,34871.3,41882,0.14550867720143,1049.98,1849.6,0.829084,0.0441621699059262
2018,53902.6,37063.9,43581.3,0.154657814905842,368.283,2026.47,0.866232,0.0464986129372001
2019,55106,38901.7,42293.1,0.162326466403228,368.283,2305.42,0.958018,0.0545105466376312
2020,56152.7,39076.8,43417.7,0.163057112217349,368.283,2177.62,0.901236,0.0501551210681358
2021,57609.6,39011.8,43541.1,0.162785884473672,368.283,2349.98918,0.933482,0.0539717457758302
2022,59309.8,38710.1,41624.5,0.161526970469558,368.283,4744.377711,1.40346,0.113980413242201
2023,58934,36211.1,39406.3,0.151099306908797,368.283,4424.571758,1.40346,0.112280822051296
2024,59147.2,34071.8,38035.3,0.1421725759542,368.283,4344.199801,1.40346,0.114214947719618
2025,59710.7,32918.4,37207.8,0.13735974396101,368.283,4714.131063,1.40346,0.126697387725154
2026,59978.3,33377.3,44867.9,0.139274611831371,368.283,5097.241696,1.40346,0.113605533042554
2027,59711.2,35955.8,44699.2,0.150034007786323,368.283,5270.709947,1.40346,0.1179150845429
2028,59017.2,37897.3,44025.3,0.158135371853237,368.283,5226.686166,1.40346,0.118720057921241
2029,58120.5,37805.4,43131.1,0.157751897551022,368.283,5069.522465,1.40346,0.11753751851912
2030,57198.9,37037.3,42209.5,0.15454682016766,368.283,4895.848906,1.40346,0.115989265591869
