"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,1.01039,0.90313293091003,1.11764706908997,0.0508067,0.041615252898101,0.059998147101899
2012,0.894,0.793617896578601,0.994382103421399,0.0492108,0.0406115756156696,0.0578100243843304
2013,0.74165,0.65211629723303,0.83118370276697,0.0443086,0.0370481878142292,0.0515690121857708
2014,0.770349,0.678190513464934,0.862507486535065,0.046277,0.0385591910191571,0.0539948089808429
2015,0.844557,0.745439465341426,0.943674534658574,0.051399,0.0429967127968362,0.0598012872031638
2016,0.858285,0.75630180199963,0.960268198000369,0.0484181,0.0403878727600214,0.0564483272399786
2017,0.829084,0.727700942971697,0.930467057028303,0.0440475,0.0366851304877534,0.0514098695122466
2018,0.866232,0.760101910201141,0.972362089798859,0.0498813,0.0416123687463443,0.0581502312536557
2019,0.958018,0.840189473166616,1.07584652683338,0.0556789,0.0462641738009822,0.0650936261990178
2020,0.901236,0.78492330931226,1.01754869068774,0.0513753,0.0424123258997788,0.0603382741002212
