"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2006.78","1753.96","1481.45","1626.52","1841.7","1900.89","1849.6","2026.47","2305.42","2177.62","NA"
"(1-SPR)/(1-SPR_MSY)","0.455146","0.511326","0.56817","0.547187","0.511837","0.505011","0.513996","0.490047","0.446901","0.466996",NA
"Fill in F method","0.0435464","0.0373771","0.0305967","0.0329463","0.0367774","0.0377385","0.0365608","0.0395406","0.0449124","0.0423093",NA
"Age 9+ Biomass (mt)","32001.4","37038.2","36155.4","39518.5","39152.9","39067","42028.3","42815.4","41180.2","41596.9","124572"
"Spawning Biomass (mt)","0","0","0","0","0","0","0","0","0","0","0"
"Lower Interval","0","0","0","0","0","0","0","0","0","0","0"
"Upper Interval","0","0","0","0","0","0","0","0","0","0","0"
"Recruits","0","0","0","0","0","0","0","0","0","0","0"
"Lower Interval","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Upper Interval","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Fraction Unfished","0","0","0","0","0","0","0","0","0","0","0"
"Lower Interval","0","0","0","0","0","0","0","0","0","0","0"
"Upper Interval","0","0","0","0","0","0","0","0","0","0","0"
