"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34"
1950,3.17025,652.511,959.701,1406.47,2022.67,2816.59,3758.88,4776.39,5764.37,6614.09,7242.7,7610.75,7722.41,7613.16,7333.82,6937.17,6469.89,5969.05,5461.81,4966.69,4495.41,4054.65,3647.58,3275.01,2936.25,2629.7,2353.29,2104.68,1881.52,1681.47,1502.33,1342.04,1198.69,1070.55,8922.3
1951,3.17575,612.713,967.342,1417.38,2038.34,2838.42,3787.98,4813.14,5808.51,6664.21,7296.37,7665.8,7777.32,7666.79,7385.23,6985.68,6515.08,6010.71,5499.92,5001.35,4526.78,4082.94,3673.03,3297.86,2956.73,2648.05,2369.71,2119.37,1894.65,1693.21,1512.82,1351.41,1207.06,1078.02,8984.57
1952,3.1807,613.777,907.623,1427.82,2052.96,2858.75,3815.1,4847.4,5849.48,6710.88,7346.72,7717.24,7828,7715.74,7431.85,7029.53,6555.85,6048.28,5534.27,5032.57,4555.04,4108.43,3695.97,3318.45,2975.2,2664.59,2384.51,2132.61,1906.49,1703.78,1522.27,1359.85,1214.6,1084.76,9040.7
1953,3.1881,614.734,911.858,1343.6,2074.14,2887.7,3853.7,4896.58,5908.67,6778.49,7420.66,7794.43,7905.02,7790.27,7502.72,7096.09,6617.7,6105.23,5586.34,5079.9,4597.86,4147.06,3730.71,3349.65,3003.17,2689.64,2406.93,2152.66,1924.41,1719.8,1536.58,1372.64,1226.02,1094.96,9125.71
1954,3.19345,616.164,910.573,1345.83,1945.95,2908.75,3881.08,4931.37,5950.89,6827.04,7474.13,7851.24,7962.65,7846.08,7555.26,7144.97,6662.87,6146.71,5624.2,5114.29,4628.97,4175.11,3755.95,3372.31,3023.49,2707.84,2423.21,2167.22,1937.43,1731.44,1546.98,1381.92,1234.32,1102.37,9187.46
1955,3.20022,617.197,914.538,1346.6,1953.05,2734.39,3917.13,4976.36,6005.2,6889.47,7542.29,7922.82,8035.67,7917.91,7623.4,7208.22,6721.08,6200.01,5672.78,5158.38,4668.84,4211.05,3788.27,3401.33,3049.5,2731.14,2444.07,2185.88,1954.1,1746.34,1560.29,1393.82,1244.94,1111.86,9266.53
1956,3.20854,618.506,917.559,1354.72,1957.43,2748.95,3688.5,5031.09,6070.34,6964.53,7625.25,8010.49,8125.08,8006.71,7708.92,7288.16,6794.53,6267.05,5733.77,5213.67,4718.81,4256.08,3828.76,3437.67,3082.09,2760.32,2470.18,2209.23,1974.98,1765,1576.97,1408.71,1258.24,1123.74,9365.56
1957,3.21839,620.115,921.36,1361.95,1973.23,2760.72,3715.67,4747.05,6149.58,7054.42,7724.12,8115.31,8232.03,8112.62,7811.59,7385.26,6884.19,6348.74,5807.84,5280.69,4779.32,4310.59,3877.76,3481.66,3121.51,2795.63,2501.77,2237.49,2000.25,1787.58,1597.14,1426.73,1274.34,1138.11,9485.36
1958,3.22655,622.017,921.958,1364.84,1979.76,2777.39,3724.04,4772.36,5790.65,7132.04,7807.96,8203.87,8322.83,8202.75,7898.91,7468.51,6961.84,6419.57,5871.71,5338.17,4831.04,4357.1,3919.55,3519.14,3155.11,2825.71,2528.7,2261.57,2021.77,1806.81,1614.32,1442.09,1288.05,1150.36,9587.45
1959,3.23081,623.595,920.625,1359.66,1975.16,2774.22,3729.89,4761.76,5795.5,6685.77,7858.68,8256.02,8376.26,8256.41,7951.21,7518.48,7009.08,6463.18,5910.89,5372.94,4861.97,4384.73,3944.28,3541.3,3174.95,2843.47,2544.58,2275.77,2034.47,1818.17,1624.47,1451.15,1296.15,1157.59,9647.7
