"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2011,0,NA,NA,0.331237,0.331237,0.331237
2012,0,NA,NA,0.00445741,0.00445741,0.00445741
2013,0,NA,NA,-0.805538,-0.805538,-0.805538
2014,0,NA,NA,-0.122865,-0.122865,-0.122865
2015,0,NA,NA,0.0058441,0.0058441,0.0058441
2016,0,NA,NA,0.0559094,0.0559094,0.0559094
2017,0,NA,NA,1.08206,1.08206,1.08206
2018,0,NA,NA,0,0,0
2019,0,NA,NA,0,0,0
2020,0,NA,NA,0,0,0
2021,0,NA,NA,0,0,0
