"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 9+ Biomass (mt)","Spawning Biomass (mt)","Fraction Unfished"
2021,0,0,0,0,0
2022,0,0,0,0,0
2023,0,0,0,0,0
2024,0,0,0,0,0
2025,0,0,0,0,0
2026,0,0,0,0,0
2027,0,0,0,0,0
2028,0,0,0,0,0
2029,0,0,0,0,0
2030,0,0,0,0,0
