ParName   Value   Gradient
MGparm[3]      272.633      3355.57
MGparm[4]     0.300781     -6590.64
MGparm[5]      -0.9698     -10604.2
MGparm[6]    0.0918305      24.9838
MGparm[7]    0.0642896       567.17
SR_parm[1]      6.11115      21538.5
SR_parm[2]     0.556505      3912.54
SR_parm[3]     0.681054      -4563.2
recdev1(1961)      1.42313     -238.992
recdev1(1962)    -0.282673     -1234.65
recdev1(1963)     0.557004     -1161.96
recdev1(1964)    -0.463182     -1336.17
recdev1(1965)     -0.52419     -1299.82
recdev1(1966)   -0.0518817     -1159.46
recdev1(1967)    -0.296671     -1092.86
recdev1(1968)     0.415271     -582.568
recdev1(1969)     0.337502      -525.02
recdev1(1970)    -0.369044     -920.104
recdev1(1971)    0.0479537     -696.393
recdev1(1972)      1.20867      943.792
recdev1(1973)     0.501974     -265.012
recdev1(1974)    -0.280764     -867.422
recdev1(1975)    -0.527073     -1042.55
recdev1(1976)    -0.575732      -1105.6
recdev1(1977)    -0.866998     -1155.22
recdev1(1978)    -0.468821     -1102.48
recdev1(1979)    -0.407509     -1221.64
recdev1(1980)    -0.762156     -1288.31
recdev1(1981)     0.388101     -1311.43
recdev1(1982)   -0.0116691     -1177.62
recdev1(1983)     -0.38618     -1057.29
recdev1(1984)      0.08151     -677.273
recdev1(1985)    -0.290115     -703.938
recdev1(1986)     0.247197      175.314
recdev1(1987)    -0.514559     -487.127
recdev1(1988)   -0.0597012      301.275
recdev1(1989)     0.793728      2396.78
recdev1(1990)    -0.155845      159.182
recdev1(1991)     0.355887      1408.39
recdev1(1992)     -1.01627     -627.231
recdev1(1993)     0.320713      1389.04
recdev1(1994)     0.877133       2595.6
recdev1(1995)    -0.528108      -327.28
recdev1(1996)    -0.267961      184.071
recdev1(1997)     0.085113      860.299
recdev1(1998)    -0.104701      429.237
recdev1(1999)      0.10884      737.347
recdev1(2000)      0.29542      917.306
recdev1(2001)     0.229522      682.621
recdev1(2002)   -0.0812956       34.332
recdev1(2003)      1.12815      2322.25
recdev1(2004)      -1.0201     -930.066
recdev1(2005)     0.747838      1175.24
recdev1(2006)    -0.477198     -521.746
recdev1(2007)    -0.078072      70.6262
recdev1(2008)     0.804231      1982.64
recdev1(2009)     0.250715      724.922
recdev1(2010)    -0.888241     -619.649
recdev1(2011)     0.331237      1522.76
recdev1(2012)   0.00445741      1084.35
recdev1(2013)    -0.805538     -200.336
recdev1(2014)    -0.122865      802.447
recdev1(2015)    0.0058441      700.504
recdev1(2016)    0.0559094      482.379
recdev1(2017)      1.08206      2731.88
init_F[1]    0.0121708      1334.36
init_F[2]   0.00223814     -341.172
Q_parm[9]     -4.39413      5531.73
Q_parm[10]     -6.66751        11226
Q_parm[11]     -6.99499      9352.27
Q_parm[14]     0.211099     -2849.53
Q_parm[15]   -0.0744251     -4833.93
Q_parm[16]    -0.141622     -7032.87
selparm[1]          120   -0.0214531
selparm[2]            3    0.0237408
selparm[3]           -5   -0.0190136
selparm[4]      7.10026   0.00336694
selparm[6]          -20 -1.44386e-008
selparm[7]          120   -0.0211387
selparm[8]            3    0.0237409
selparm[9]           -5   -0.0190136
selparm[10]      8.03662   0.00560081
selparm[12]          -20 -1.44386e-008
selparm[13]          120   -0.0211388
selparm[14]            3    0.0237302
selparm[15]           -5   -0.0190136
selparm[18]          -20 -1.44386e-008
selparm[19]          120   -0.0211387
selparm[20]            3     0.023741
selparm[21]           -5   -0.0190136
selparm[22]      6.60046   0.00340877
selparm[24]          -20 -1.44386e-008
selparm[25]           50    -0.161761
selparm[27]           -2    -0.359764
selparm[31]          150   -0.0222709
selparm[32]            3    0.0226579
selparm[33]     -2.19869    -0.310808
selparm[36]          -15 -2.16579e-008
selparm[37]           80    -0.019815
selparm[38]            3     0.159016
selparm[40]      7.85593     0.269303
selparm[43]          120   -0.0211387
selparm[44]            3    0.0237409
selparm[45]           -5   -0.0190136
selparm[46]      7.82065   0.00483263
selparm[48]          -20 -1.44386e-008
selparm[49]          120   -0.0211387
selparm[50]            3     0.023741
selparm[51]     -1.22563  -0.00163122
selparm[52]      5.73187   0.00357969
selparm[54]          -20 -1.44386e-008
selparm[57]           80 -1.0829e-008
selparm[58]            3      7.02344
selparm[60]            4      7.80847
selparm[63]          140 -5.41451e-009
selparm[64]            1     0.019944
selparm[65]     -0.26325    0.0920833
selparm[68]          -15 -2.16579e-008
selparm[71]          120   -0.0211387
selparm[72]            3    0.0237375
selparm[73]     -2.93387  -0.00312158
selparm[74]      6.60589  -0.00524115
selparm[76]          -20 -1.44386e-008
selparm[79]          120   -0.0186266
selparm[80]            3    0.0199753
selparm[81]           -5     -4.81049
selparm[82]      7.31676   0.00381311
selparm[84]          -20 -1.44386e-008
selparm[85]          210 -3.60972e-009
selparm[86]           30    0.0224923
selparm[99]          120    -0.451779
selparm[102] -3.55271e-015      292.135
selparm[104]      7.62543      94.7122
selparm[105]            1       3.3465
selparm[106]           60     -1.46067
selparm[107]            3      9.31747
selparm[110]          120    -0.354983
selparm[111]            3      3.90424
selparm[113]      7.62543    0.0042716
parm_dev[1](2011)            5      68.0175
parm_dev[1](2012)    -0.758326     -11.8775
parm_dev[1](2013)      0.36725      5.76486
parm_dev[1](2014)     0.463797      7.27746
parm_dev[1](2015)    0.0321852     0.505561
