ParName   Value   Gradient
MGparm[3]      274.412 -5.15675e-005
MGparm[4]     0.287132  0.000321864
MGparm[5]    -0.928281  0.000408438
MGparm[6]    0.0936865 1.62877e-005
MGparm[7]    0.0629057 1.04645e-006
SR_parm[1]      6.46055   0.00144493
SR_parm[2]     0.598333 7.18748e-005
SR_parm[3]     0.657874 -0.000120576
recdev1(1961)      1.71114  0.000359768
recdev1(1962)    -0.375453 1.13339e-005
recdev1(1963)     0.581949  0.000105765
recdev1(1964)    -0.354606  2.3842e-005
recdev1(1965)    -0.485395 2.91626e-005
recdev1(1966)    0.0411465 9.90847e-005
recdev1(1967)    -0.248168  5.1491e-005
recdev1(1968)     0.559587  0.000151096
recdev1(1969)     0.577663  0.000129122
recdev1(1970)    -0.287297 2.34623e-005
recdev1(1971)    0.0843399 4.48111e-005
recdev1(1972)      1.42568  0.000212366
recdev1(1973)     0.709742 7.71779e-005
recdev1(1974)    -0.103482 1.05213e-005
recdev1(1975)    -0.381082 -5.82148e-006
recdev1(1976)    -0.423194 -9.54163e-006
recdev1(1977)    -0.762461 -2.12742e-005
recdev1(1978)    -0.361413 -1.36136e-005
recdev1(1979)    -0.339617 -1.74873e-005
recdev1(1980)    -0.791909 -2.92796e-005
recdev1(1981)     0.366321 -6.58401e-006
recdev1(1982)  -0.00736221 -2.00311e-005
recdev1(1983)    -0.436833 -2.77228e-005
recdev1(1984)    0.0707817 -1.77888e-005
recdev1(1985)    -0.291997 -2.58142e-005
recdev1(1986)     0.190417 -1.82958e-005
recdev1(1987)    -0.503775 -3.18292e-005
recdev1(1988)    -0.172282 -3.03675e-005
recdev1(1989)     0.900213 -1.15837e-005
recdev1(1990)    -0.211858 -3.30341e-005
recdev1(1991)     0.321352 -2.72293e-005
recdev1(1992)     -1.05044 -3.89281e-005
recdev1(1993)     0.238075 -3.18244e-005
recdev1(1994)      0.97268 -2.28876e-005
recdev1(1995)    -0.627495 -3.9361e-005
recdev1(1996)    -0.400447 -3.89483e-005
recdev1(1997)    0.0470246 -3.70504e-005
recdev1(1998)    -0.232917 -3.89219e-005
recdev1(1999)    0.0477589 -3.72476e-005
recdev1(2000)     0.219144 -3.58677e-005
recdev1(2001)     0.170907 -3.68666e-005
