"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2006.78","1753.96","1481.45","1626.52","1841.7","1900.89","1849.6","2026.47","2305.42","2177.62","NA"
"(1-SPR)/(1-SPR_MSY)","1.00225","0.884925","0.735478","0.763953","0.833518","0.84146","0.808693","0.842473","0.928736","0.869653",NA
"Fill in F method","0.0514245","0.0500291","0.044979","0.0470053","0.0519815","0.0486126","0.043866","0.0492452","0.0546258","0.0501917",NA
"Age 9+ Biomass (mt)","26057","31908.9","31304.8","35849.2","36058.8","36638.5","41691.3","43764.8","42648.6","44181.1","232515"
"Spawning Biomass (mt)","23025.5","24579","27096.6","29608.3","31644.7","33150.4","34391.1","36846.6","39025.5","39505.3","39727.1"
"Lower Interval","18884.1352999466","20190.4642418562","22317.0710265803","24437.9346084232","26156.5068486902","27387.0671045404","28408.3099371915","30500.9814043734","32309.1346170578","32601.2484658983","32679.6183015096"
"Upper Interval","27166.8647000534","28967.5357581438","31876.1289734197","34778.6653915768","37132.8931513098","38913.7328954596","40373.8900628085","43192.2185956266","45741.8653829422","46409.3515341017","46774.5816984904"
"Recruits","339.305","246.639","109.304","238.332","281.719","308.487","1064.44","374.82","374.82","374.82","374.82"
"Lower Interval","251.364148817793","163.35074431678","60.9079690816196","150.407239801351","162.396130198327","150.368041853166","607.980031968475","281.639664061397","281.639664061397","281.639664061397","281.639664061397"
"Upper Interval","458.012344108996","372.393750487192","196.154371852228","377.655638777899","488.716047999877","632.875363648932","1863.60152311507","498.829001476772","498.829001476772","498.829001476772","498.829001476772"
"Fraction Unfished","0.285708","0.304984","0.336223","0.367388","0.392657","0.41134","0.426736","0.457204","0.48424","0.490194","0.492945"
"Lower Interval","0.238515007198252","0.25474992707984","0.28119799111603","0.307526975980576","0.328764330064377","0.343945854405996","0.356399948465202","0.381889835940869","0.403863052972403","0.407251656113039","0.40788021111418"
"Upper Interval","0.332900992801748","0.35521807292016","0.39124800888397","0.427249024019424","0.456549669935623","0.478734145594004","0.497072051534798","0.532518164059131","0.564616947027597","0.573136343886961","0.57800978888582"
