"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
2009,37725,21502.4,25131.2,0.0905848601146719,294.141,1979.66,1.08341,0.0787729992996753
2010,39420.1,22141.2,25972.3,0.0932759833679483,87.9933,1857.45,1.01287,0.07151657727656
2011,41147.8,23025.5,26057,0.097001343876515,339.305,2006.78,1.00225,0.0770150055647235
2012,43050.1,24579,31908.9,0.103545896121294,246.639,1753.96,0.884925,0.0549677362742056
2013,45105.8,27096.6,31304.8,0.114151988642348,109.304,1481.45,0.735478,0.0473234136618027
2014,47205.3,29608.3,35849.2,0.124733225767042,238.332,1626.52,0.763953,0.0453711658837575
2015,49171.1,31644.7,36058.8,0.133312129012145,281.719,1841.7,0.833518,0.0510749109787347
2016,50811.3,33150.4,36638.5,0.139655310418624,308.487,1900.89,0.84146,0.0518823095923687
2017,52232.3,34391.1,41691.3,0.144882105378455,1064.44,1849.6,0.808693,0.0443641719015718
2018,54538.2,36846.6,43764.8,0.155226584320879,374.82,2026.47,0.842473,0.0463036504222572
2019,55965.6,39025.5,42648.6,0.164405808579746,374.82,2305.42,0.928736,0.0540561706597637
2020,57219.7,39505.3,44181.1,0.166427099965034,374.82,2177.62,0.869653,0.0492884966648635
2021,58858.7,39727.1,44547,0.167361494356982,374.82,2349.98918,0.897744,0.0527530289357308
2022,60714.4,39677.1,42747.7,0.167150855404785,374.82,4907.32392,1.38132,0.114797379040276
2023,60300,37186.7,40481,0.156659350473727,374.82,4564.765668,1.38132,0.112763164645142
2024,60473.6,35001.4,39046.4,0.147453164428979,374.82,4459.979011,1.38132,0.114222540643952
2025,61008,33794.2,38151.9,0.14236749756712,374.82,4813.412074,1.38132,0.126164413148493
2026,61256,34218.1,45883.5,0.144153294603851,374.82,5189.39636,1.38132,0.113099400873952
2027,60971.9,36805.3,45700.3,0.155052596546364,374.82,5362.182398,1.38132,0.117333636715733
2028,60258,38763.4,45006.9,0.163301639192326,374.82,5319.50164,1.38132,0.118193024625113
2029,59336.6,38659.9,44088.1,0.162865616561277,374.82,5162.179645,1.38132,0.117087822904593
2030,58387.6,37867.3,43139,0.159526567891041,374.82,4986.415074,1.38132,0.115589491504207
