"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34"
1950,767.227,530.884,379.529,283.619,219.737,175.256,143.238,119.541,101.568,87.6483,76.5907,67.5536,59.9817,53.5188,47.9261,43.035,38.722,34.8943,31.4807,28.425,25.682,23.2145,20.9913,18.9859,17.1754,15.5397,14.0613,12.7246,11.5155,10.4219,9.43233,8.53697,7.72674,6.99349,66.7154
1951,767.008,520.979,379.559,283.494,219.604,175.258,143.3,119.66,101.715,87.6709,76.5268,67.4624,59.8875,53.4305,47.8476,42.9672,38.6641,34.8448,31.4381,28.388,25.6496,23.1859,20.9659,18.9633,17.1551,15.5215,14.045,12.7098,11.5022,10.4098,9.42148,8.52716,7.71787,6.98547,66.6389
1952,766.841,520.83,372.146,282.187,217.97,173.749,142.368,119.257,101.491,87.6475,76.5164,67.4232,59.8357,53.3742,47.7911,42.9143,38.6168,34.8035,31.4022,28.3568,25.6222,23.1618,20.9446,18.9443,17.1382,15.5063,14.0313,12.6975,11.4911,10.3998,9.41242,8.51897,7.71046,6.97878,66.5752
1953,766.72,520.717,372.823,278.814,219.637,175.057,143.182,119.805,102.027,87.9373,76.7115,67.4995,59.8332,53.3399,47.7445,42.8641,38.5683,34.7594,31.3633,28.3228,25.5926,23.1358,20.9216,18.9239,17.12,15.4901,14.0167,12.6844,11.4793,10.3892,9.40281,8.51029,7.70262,6.97168,66.5076
1954,766.729,520.635,371.715,277.781,214.865,173.794,141.741,118.373,100.984,87.6069,76.6598,67.5959,59.9138,53.3797,47.7622,42.8686,38.5649,34.7527,31.356,28.3162,25.5871,23.1313,20.9179,18.9209,17.1175,15.4879,14.0148,12.6828,11.4779,10.3879,9.40171,8.50931,7.70174,6.9709,66.5003
1955,766.8,520.641,371.884,276.712,213.932,170.214,141.196,117.825,100.332,87.0605,76.5599,67.6512,60.0599,53.4922,47.8268,42.9058,38.5851,34.762,31.3597,28.3175,25.5876,23.1318,20.9186,18.9216,17.1183,15.4888,14.0157,12.6836,11.4787,10.3887,9.40242,8.50996,7.70234,6.97144,66.5056
1956,766.905,520.689,372.279,277.998,214.517,170.799,139.291,117.993,100.253,86.7149,76.1895,67.6156,60.1392,53.6442,47.9454,42.9793,38.632,34.792,31.3786,28.3301,25.5971,23.1397,20.9257,18.9282,17.1244,15.4944,14.0209,12.6884,11.4831,10.3926,9.40603,8.51324,7.70532,6.97414,66.5316
1957,767.069,520.761,372.638,278.781,216.194,172.073,140.551,117.058,100.888,86.9516,76.0551,67.3829,60.1671,53.7567,48.1125,43.1094,38.7167,34.8493,31.418,28.3576,25.6174,23.156,20.9397,18.9407,17.1357,15.5047,14.0303,12.6969,11.4909,10.3997,9.41245,8.51907,7.7106,6.97893,66.5775
1958,767.16,520.872,372.288,278.4,215.903,172.378,140.587,117.26,99.4754,87.1343,76.0756,67.1729,59.9132,53.755,48.1967,43.2484,38.8259,34.9196,31.465,28.3894,25.639,23.1716,20.952,18.9512,17.1451,15.5133,14.0381,12.7041,11.4974,10.4057,9.41788,8.52401,7.71508,6.983,66.6165
1959,767.092,520.934,371.343,275.303,212.138,168.759,138.198,115.594,98.4845,85.2377,75.8925,67.0226,59.6358,53.4734,48.1593,43.2992,38.933,35.0045,31.5178,28.4232,25.6606,23.1852,20.961,18.9579,17.1507,15.5183,14.0428,12.7084,11.5014,10.4094,9.42125,8.52709,7.7179,6.98556,66.6414
1960,766.709,520.887,370.857,267.328,202.074,160.406,133.044,114.209,97.9699,84.7699,74.2638,66.7518,59.3734,53.1141,47.8178,43.1953,38.9229,35.0558,31.557,28.4393,25.6642,23.1812,20.9526,18.9478,17.1406,15.5089,14.0344,12.701,11.4948,10.4035,9.41606,8.52245,7.71374,6.98183,66.6063
1961,2619.79,520.627,372.068,273.732,203.504,158.508,129.664,110.689,96.866,84.323,73.8771,65.3709,59.1979,52.9409,47.5473,42.9303,38.863,35.0742,31.6262,28.4941,25.6954,23.1989,20.9618,18.9515,17.1414,15.5087,14.0339,12.7006,11.4946,10.4034,9.41607,8.52253,7.71386,6.98197,66.6084
1962,474.567,1778.95,370.598,266.165,199.177,152.749,124.5,107.268,93.9967,83.4455,73.4717,64.9788,57.9182,52.7366,47.3541,42.6571,38.5999,34.9996,31.6253,28.5416,25.7318,23.2157,20.9677,18.9508,17.1367,15.5022,14.0272,12.6943,11.4889,10.3984,9.41166,8.51863,7.7104,6.97888,66.58
1963,1078.86,322.251,1240.13,224.53,151.941,117.11,100.88,96.9102,88.8249,79.2311,71.2778,63.5759,56.8456,51.1025,46.8278,42.2435,38.1801,34.6311,31.4548,28.4575,25.7058,23.1905,20.9329,18.9126,17.0979,15.4642,13.9913,12.6613,11.4591,10.3716,9.38759,8.49701,7.69096,6.96137,66.4147
1964,382.099,732.592,220.883,664.66,106.579,73.1686,64.5012,68.3268,70.6462,66.3702,61.3901,57.5864,53.135,48.6425,44.4146,41.118,37.3456,33.9086,30.8538,28.0858,25.4491,23.014,20.7789,18.7672,16.9632,15.3403,13.8778,12.5581,11.3658,10.2876,9.31194,8.42888,7.62955,6.90598,65.8896
1965,350.518,259.461,501.519,117.11,308.573,48.7835,36.2514,36.6279,39.8735,42.6353,43.6012,44.4916,45.0518,43.694,41.2394,38.3608,35.9254,32.8709,29.991,27.379,24.9794,22.6707,20.5249,18.5467,16.7611,15.1566,13.711,12.4067,11.2289,10.1641,9.20072,8.32874,7.53932,6.82461,65.119
1966,554.742,238.017,178.866,287.024,60.5019,156.179,25.3832,20.15,20.6505,23.3047,27.3285,31.0926,34.461,36.8147,36.8896,35.514,33.4439,31.5679,29.0338,26.5831,24.3266,22.2324,20.202,18.3058,16.552,14.9654,13.5373,12.2492,11.086,10.0349,9.08428,8.22388,7.44489,6.73952,64.3153
1967,411.013,376.693,164.298,111.569,167.136,35.4217,93.9247,16.4751,14.3624,15.2205,17.8155,21.7902,25.6429,29.0916,31.5732,31.9858,31.0325,29.3852,27.8464,25.6836,23.5636,21.5953,19.7575,17.9672,16.2902,14.7358,13.3274,12.0584,10.9129,9.87787,8.94215,8.09559,7.32921,6.63522,63.3306
1968,865.062,279.095,261.27,96.7572,60.9691,93.5302,22.2913,69.9876,12.9967,11.4465,12.2662,14.6007,18.192,21.7768,25.0495,27.4684,28.034,27.3409,25.9852,24.6889,22.814,20.9591,19.2272,17.6034,16.0167,14.5273,13.1448,11.891,10.7605,9.73936,8.81638,7.98173,7.22642,6.54255,62.4594
1969,746.449,587.413,197.025,177.445,65.0782,42.1972,68.6508,17.6912,57.7403,10.8247,9.60221,10.3942,12.5128,15.7565,19.0283,22.0369,24.2864,24.8768,24.3256,23.1632,22.038,20.3848,18.7411,17.2017,15.7552,14.3393,13.0087,11.7726,10.6509,9.63911,8.72497,7.8985,7.151,6.47448,61.8243
1970,355.975,506.87,411.09,123.935,106.923,40.443,29.0046,54.3116,14.8159,49.0236,9.26857,8.29237,9.04527,10.9593,13.8744,16.8292,19.5584,21.6134,22.1844,21.7261,20.7116,19.7221,18.254,16.7899,15.4161,14.1233,12.8565,11.6651,10.5578,9.55256,8.64562,7.82603,7.08494,6.41458,61.2673
1971,531.017,241.722,340.302,183.458,45.4031,40.5082,19.9542,21.1615,45.1346,12.4913,41.2989,7.83461,7.06652,7.78828,9.53069,12.1645,14.8456,17.3297,19.2112,19.7634,19.3866,18.503,17.634,16.3315,15.0285,13.8034,12.649,11.5165,10.4507,9.45956,8.55955,7.74731,7.01316,6.34924,60.6564
1972,1770.11,360.583,159.628,134.532,56.0625,14.1782,16.8998,12.9628,15.9252,34.8014,9.84817,33.5066,6.52062,5.99842,6.70819,8.29609,10.6688,13.0901,15.3384,17.0497,17.5736,17.2626,16.4924,15.7295,14.5756,13.4179,12.3277,11.2992,10.2892,9.33805,8.4532,7.64943,6.92388,6.26799,59.8891
1973,812.459,1201.98,244.846,79.4197,57.5098,24.6661,7.62199,12.272,10.5184,13.1347,28.9228,8.27845,28.5011,5.60616,5.20456,5.86369,7.2934,9.41972,11.594,13.6168,15.1614,15.6465,15.3833,14.7067,14.0332,13.0083,11.9783,11.0072,10.0903,9.18933,8.34054,7.55066,6.833,6.1851,59.1008
1974,360.14,551.694,827.395,133.859,38.9329,28.7182,14.1386,5.35981,9.19273,8.0269,10.3265,23.5535,6.93736,24.3668,4.85823,4.55195,5.16116,6.44816,8.3542,10.3055,12.1229,13.5137,13.9578,13.7315,13.1335,12.5362,11.6235,10.7051,9.83853,9.01986,8.21508,7.45669,6.75078,6.10934,58.3741
1975,267.317,244.55,362.335,416.803,55.2536,16.0389,12.5007,7.51558,3.79902,7.06105,6.38413,8.49773,19.8982,5.96459,21.1913,4.25748,4.01003,4.56345,5.71634,7.42,9.16563,10.7927,12.0397,12.442,12.2451,11.7152,11.1848,10.3722,9.55375,8.78117,8.05101,7.33302,6.6563,6.02632,57.5656
1976,243.376,181.52,169.853,214.002,228.964,31.2208,10.2389,9.51493,6.09961,3.10308,5.7514,5.19262,6.94349,16.4401,4.99629,17.9804,3.65014,3.46511,3.96608,4.9888,6.49518,8.04077,9.48322,10.5912,10.9544,10.7878,10.3257,9.8616,9.14738,8.42718,7.74678,7.10335,6.47037,5.87359,56.1187
1977,171.576,165.262,127.744,110.735,135.494,147.311,21.1681,7.45373,7.02334,4.50439,2.3048,4.3084,3.94753,5.39717,13.0964,4.06806,14.8947,3.06271,2.93452,3.38117,4.27338,5.58287,6.92859,8.18633,9.15487,9.47805,9.34057,8.94521,8.54646,7.92979,7.30701,6.71811,6.16085,5.61234,53.7782
1978,237.903,116.507,116.16,82.6523,69.2784,85.9593,98.3182,15.16,5.40584,5.07339,3.24221,1.65382,3.11654,2.92141,4.11383,10.2646,3.2614,12.1466,2.52888,2.44485,2.83522,3.6001,4.71921,5.87118,6.94949,7.78197,8.06454,7.95328,7.62069,7.28384,6.76023,6.23066,5.72942,5.25479,50.6647
1979,233.372,161.546,81.5528,72.5618,49.2576,42.2586,57.2288,73.9135,11.7842,4.16919,3.82705,2.3834,1.2049,2.30174,2.21409,3.20324,8.17765,2.64454,9.9782,2.09716,2.04136,2.37903,3.03171,3.98455,4.9667,5.88717,6.59924,6.8441,6.75349,6.47378,6.18954,5.74592,5.29671,4.87122,47.552
1980,149.31,158.469,111.798,46.8128,38.1389,26.3618,25.2982,40.4183,54.6174,8.58091,2.94982,2.63707,1.6368,0.847063,1.67789,1.67277,2.49223,6.50513,2.13787,8.16043,1.72941,1.69348,1.98215,2.53388,3.3379,4.16766,4.94614,5.54944,5.75922,5.6858,5.45232,5.21436,4.84161,4.46376,44.1887
1981,430.81,101.388,110.57,68.9483,27.2768,22.5841,16.8134,18.0129,29.7771,39.8424,6.08309,2.02175,1.78818,1.13234,0.607535,1.2489,1.28429,1.95915,5.20277,1.73126,6.6677,1.42219,1.39915,1.6432,2.1058,2.77902,3.47448,4.12755,4.63438,4.81215,4.7527,4.55888,4.36086,4.04978,40.705
1982,275.003,292.538,70.6583,67.6664,39.6392,15.8179,13.9161,11.3823,12.491,20.4807,27.0918,4.09838,1.37311,1.25042,0.822967,0.457962,0.969559,1.01924,1.57981,4.24353,1.42365,5.51523,1.18137,1.16582,1.37225,1.76146,2.32742,2.91247,3.46218,3.88919,4.03984,3.99099,3.829,3.66322,37.6029
