"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,1.00225,0.899355810739616,1.10514418926038,0.0514245,0.0424769116170574,0.0603720883829426
2012,0.884925,0.788818166018078,0.981031833981922,0.0500291,0.0415747757530466,0.0584834242469534
2013,0.735478,0.649718795874458,0.821237204125542,0.044979,0.037846279467822,0.052111720532178
2014,0.763953,0.675805383762897,0.852100616237103,0.0470053,0.0394201413816308,0.0545904586183692
2015,0.833518,0.739257452091515,0.927778547908485,0.0519815,0.0437753855920488,0.0601876144079512
2016,0.84146,0.745171281360313,0.937748718639687,0.0486126,0.0408494570521947,0.0563757429478053
2017,0.808693,0.713454038070433,0.903931961929567,0.043866,0.0368285729167503,0.0509034270832497
2018,0.842473,0.742899773715021,0.942046226284979,0.0492452,0.0414533043805415,0.0570370956194585
2019,0.928736,0.81807623743647,1.03939576256353,0.0546258,0.0458426133960807,0.0634089866039193
2020,0.869653,0.760934777759556,0.978371222240444,0.0501917,0.0418837458634121,0.0584996541365879
