"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1950,252495,203414,218294,0.909356699003085,717.533,1017.3,0.190406,0.00466022886565824
1951,252211,203131,218006,0.908091555277393,717.335,1122.8,0.246394,0.00515031696375329
1952,251802,202917,217791,0.907134874156198,717.185,693.5,0.103745,0.00318424544632239
1953,251852,202765,217683,0.906455362331798,717.079,1084,0.258753,0.00497971821410032
1954,251468,202779,217664,0.906517948947204,717.089,823,0.213699,0.00378105704204646
1955,251273,202872,217694,0.906933702892396,717.154,544,0.135648,0.0024989205030915
1956,251315,203005,217765,0.907528275738746,717.247,247,0.0647731,0.00113425022386518
1957,251666,203215,217984,0.908467074969824,717.394,546,0.146765,0.00250477099236641
1958,251699,203329,218118,0.908976708838124,717.473,1207,0.339226,0.00553370194115112
1959,250934,203240,217838,0.908578836783048,717.411,1649,0.506591,0.0075698454815046
1960,249489,202753,217193,0.906401716661451,717.07,1032,0.289461,0.00475153434963374
1961,248498,202294,216636,0.904349769770665,2703.65,1620,0.536565,0.00747798149891985
1962,249498,201602,215822,0.901256202780634,450.121,5799,1.40545,0.0268693645689503
1963,243458,199565,213184,0.89214985023917,1064.49,13838,1.73048,0.0649110627439207
1964,228342,193100,204645,0.863248245339532,372.596,18608,1.8017,0.0909281927239854
1965,204731,181023,188720,0.809258348607448,342.425,14167,1.79707,0.0750688851208139
1966,183659,167198,171612,0.747454065894765,547.514,8080,1.66943,0.0470829545719414
1967,168616,154259,157084,0.689610621842729,415.95,5940,1.60709,0.0378141631229151
1968,155682,141807,143761,0.633944297912289,865.674,3176,1.15825,0.0220922225081907
1969,146777,130761,132300,0.584563458357548,733.586,3012,1.30773,0.0227664399092971
1970,138838,121212,126664,0.54187491617864,360.381,5466,1.75448,0.0431535400745279
1971,128423,113255,117194,0.506303366265814,528.407,6591,1.80658,0.0562400805501988
1972,116810,105574,110240,0.471965666770978,1741.69,3948,1.71666,0.0358127721335268
1973,109578,98554.6,101972,0.440585631901292,798.238,3871,1.69955,0.0379614011689483
1974,102178,91551.2,93492.2,0.409277124592069,347.677,5389.98,1.78447,0.0576516543626099
1975,93418.5,84233.4,85561.4,0.376563100719746,263.657,5072.38,1.61075,0.0592835086849911
