"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 9+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","(1-SPR)/(1-SPR_MSY)","Exploitation Rate"
1976,84889.3,75665.2,76456.3,0.338259197997228,238.882,5880,1.65482,0.0769066774091867
1977,75945.4,65930.1,66616.4,0.294738700880683,169.092,6695.35,1.70872,0.100506031547787
1978,66721.3,56066.2,56774.8,0.25064240690241,230.007,5765.1,1.69407,0.101543290333035
1979,59204.9,47641.7,48248.6,0.212980911082301,227.06,6255.03,1.77571,0.129641689085279
1980,51697.4,40158.1,40996.5,0.179525682864679,147.482,5783.48,1.75759,0.141072530581879
1981,44952.5,34264.7,38360.9,0.153179400062587,417.846,5769.96,1.7766,0.150412529424492
1982,38846.8,30393.7,34119,0.135874200903035,267.598,1660.01,1.17659,0.0486535361528767
1983,37210.8,29643.7,32158.7,0.132521346506326,184.148,2554.24,1.47114,0.0794260962041376
1984,34810.7,27763.8,29243.3,0.12411730519916,288.721,2301.18,1.44951,0.078690845424422
1985,33080.8,25488.8,26540.2,0.113946980195807,185.068,2674.24,1.58644,0.100761863135922
1986,31162.3,22853.5,23609.4,0.102165943940274,309.944,2329.36,1.49177,0.0986623971807839
1987,30122.4,20365.9,21355.8,0.0910451964772677,124.676,2501.91,1.52493,0.117153653808333
1988,29087,18386.7,19720.7,0.0821972372479771,193.951,2901.96,1.57281,0.14715299152667
1989,27983.5,16613.6,17805.4,0.0742706424069024,468.551,2764.52,1.52609,0.15526301009806
1990,27635.3,15238.4,18177.9,0.0681228485850954,152.297,2780.33,1.54261,0.152951110964413
1991,27134.1,14999.6,18188.3,0.0670552997451831,266.58,2928.93,1.55403,0.161033741471166
1992,26671.8,15082.9,17639.4,0.0674276901068443,60.0288,2296.34,1.35931,0.130182432509042
1993,26650.1,15212.2,18289.6,0.0680057222048371,256.341,2384.1,1.37277,0.130352768786633
1994,26832.7,15415.3,17961.7,0.068913675175466,474.13,2112.87,1.27033,0.117631961339962
1995,27681.5,15652.7,18752.3,0.0699749653538379,100.455,2447.95,1.36198,0.130541320264714
1996,27887.2,15683.7,17821.3,0.0701135500022352,132.564,2511.6,1.41478,0.1409324796732
1997,28054.1,15614.4,17633.8,0.0698037462559793,191.715,2334.3,1.31644,0.13237645884608
1998,28458.1,15776.7,20296.3,0.0705293039474272,156.784,2657,1.3659,0.130910560052818
1999,28443.8,16523.9,19755.6,0.0738696410210559,202.517,2771.75,1.36857,0.140301990321732
2000,28307.6,16783.8,19874.2,0.0750315168313291,248.413,2774.82,1.37993,0.139619204798181
2001,28205.6,16439.2,18017.1,0.0734909919978542,227.073,2784.4,1.4437,0.154542073918666
2002,28017,15985.3,18348.1,0.0714618445169654,159.594,3318.57,1.57013,0.180867228759381
2003,27050.9,15904.4,20941.1,0.0711001832893737,595.732,2305.37,1.34228,0.110088295266247
2004,27557.1,16976.3,20221.9,0.0758920827931512,62.5465,2124.54,1.33037,0.105061344384059
2005,27663.6,17813.2,19871,0.0796334212526264,420.606,1756.44,1.15903,0.0883921292335564
2006,28645.8,17816.6,19909.3,0.0796486208592248,112.19,1811.44,1.1718,0.0909846152300684
2007,29421.8,17626.9,19557.8,0.0788005722204837,171.7,1637.78,1.10944,0.0837405025105073
2008,30584,17772.6,20040.2,0.0794519200679512,458.857,1999.52,1.18414,0.099775451342801
2009,31878,17931.4,20919.8,0.0801618311055479,251.537,1979.66,1.14693,0.0946309238138032
2010,33108,18195.9,21405.2,0.0813442710894542,76.3441,1857.45,1.08522,0.0867756433016276
2011,34405.7,18719,21285.5,0.083682775269346,287.233,2006.78,1.07281,0.0942792041530619
2012,35832.7,19915.3,26230.6,0.0890308015557244,213.08,1753.96,0.959376,0.0668669416635533
2013,37431.8,21971.3,25614.3,0.098222093075238,95.8489,1481.45,0.808509,0.0578368333313813
2014,39108.2,24054.6,29480.1,0.107535428494792,210.561,1626.52,0.836659,0.0551734899135349
2015,40657.5,25721,29492.5,0.114985023917028,249.366,1841.7,0.908119,0.0624463846740697
2016,41906,26872.3,29838,0.120131878939604,271.506,1900.89,0.917555,0.0637070178966419
2017,42966.4,27777.8,33933.3,0.124179891814565,943.543,1849.6,0.884213,0.0545069297710509
2018,44836.2,29707.4,35540.3,0.13280611560642,330.651,2026.47,0.918862,0.0570189334361274
2019,45924.4,31356.4,34413.8,0.140177924806652,330.651,2305.42,1.00616,0.0669911488995693
2020,46854.5,31542.8,35457.3,0.141011220886048,330.651,2177.62,0.94988,0.061415279787237
2021,48173.2,31539.1,35596.9,0.140994680137691,330.651,2349.98918,0.980329,0.066016680666013
2022,49703.6,31294.9,33890.9,0.139902990746122,330.651,4045.371076,1.32352,0.119364521921814
2023,49870.3,29442.3,32313.8,0.131620993338996,330.651,3809.378776,1.32352,0.117887056799262
2024,50539,27879.3,31454.8,0.124633644776253,330.651,3770.44695,1.32352,0.119868730686572
2025,51502,27173.2,31039.6,0.121477044123564,330.651,4131.902901,1.32352,0.133117143938711
2026,52173.9,27913.7,38428.1,0.124787429031249,330.651,4509.443471,1.32352,0.11734755220789
2027,52322.6,30602.5,38653.9,0.136807635567079,330.651,4697.643206,1.32352,0.121530898719146
2028,52035.6,32711.5,38382.6,0.146235862130627,330.651,4686.574157,1.32352,0.122101529260655
2029,51513.7,32921.7,37862.6,0.147175555456212,330.651,4568.954067,1.32352,0.120671957736658
2030,50921.8,32468.9,37270.8,0.145151325495105,330.651,4431.301759,1.32352,0.118894731505629
