"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","2006.78","1753.96","1481.45","1626.52","1841.7","1900.89","1849.6","2026.47","2305.42","2177.62","NA"
"(1-SPR)/(1-SPR_MSY)","1.07281","0.959376","0.808509","0.836659","0.908119","0.917555","0.884213","0.918862","1.00616","0.94988",NA
"Fill in F method","0.0619968","0.0605256","0.0542267","0.0569175","0.0627941","0.0590544","0.0534575","0.0599818","0.0668266","0.0617797",NA
"Age 9+ Biomass (mt)","21285.5","26230.6","25614.3","29480.1","29492.5","29838","33933.3","35540.3","34413.8","35457.3","217984"
"Spawning Biomass (mt)","18719","19915.3","21971.3","24054.6","25721","26872.3","27777.8","29707.4","31356.4","31542.8","31539.1"
"Lower Interval","15523.1219260887","16546.7294994109","18314.3403987256","20104.8413790752","21538.8680490681","22492.290085189","23247.7352425326","24922.6771220213","26308.1795639397","26363.3207758951","26257.7418479787"
"Upper Interval","21914.8780739113","23283.8705005891","25628.2596012744","28004.3586209248","29903.1319509319","31252.309914811","32307.8647574674","34492.1228779787","36404.6204360603","36722.2792241049","36820.4581520213"
"Recruits","287.233","213.08","95.8489","210.561","249.366","271.506","943.543","330.651","330.651","330.651","330.651"
"Lower Interval","213.920047131484","142.093857397769","53.9403178799093","133.925812844618","144.981510730945","133.077244810488","539.618435545903","249.179640091218","249.179640091218","249.179640091218","249.179640091218"
"Upper Interval","385.671176662982","319.528846858604","170.318084733272","331.048464663334","428.905738686909","553.930224066306","1649.82019553939","438.760099986409","438.760099986409","438.760099986409","438.760099986409"
"Fraction Unfished","0.253163","0.269343","0.297149","0.325324","0.347861","0.363432","0.375678","0.401775","0.424077","0.426598","0.426547"
"Lower Interval","0.212882800171725","0.226703199530737","0.250573983842578","0.27471087004523","0.293949838648444","0.306732005894842","0.316729535211778","0.338850748269138","0.357101502713094","0.35768331434679","0.355997508387285"
"Upper Interval","0.293443199828275","0.311982800469263","0.343724016157422","0.37593712995477","0.401772161351556","0.420131994105158","0.434626464788222","0.464699251730862","0.491052497286906","0.49551268565321","0.497096491612715"
