"Year","(1-SPR)/(1-SPR_MSY)","Lower Interval","Upper Interval","Fill in F method","Lower Interval","Upper Interval"
2011,1.07281,0.98042513762472,1.16519486237528,0.0619968,0.0518050460793113,0.0721885539206887
2012,0.959376,0.871664671745856,1.04708732825414,0.0605256,0.0509218548743131,0.0701293451256869
2013,0.808509,0.728406839923036,0.888611160076964,0.0542267,0.0462490389940868,0.0622043610059132
2014,0.836659,0.754906354251655,0.918411645748346,0.0569175,0.0483875015436035,0.0654474984563965
2015,0.908119,0.821485063948157,0.994752936051843,0.0627941,0.0536250356868044,0.0719631643131956
2016,0.917555,0.82875157981367,1.00635842018633,0.0590544,0.050317194151158,0.067791605848842
2017,0.884213,0.795667119081239,0.972758880918761,0.0534575,0.0455167451159157,0.0613982548840843
2018,0.918862,0.826381883375071,1.01134211662493,0.0599818,0.0511997501751917,0.0687638498248083
2019,1.00616,0.903834984280727,1.10848501571927,0.0668266,0.0568351543985312,0.0768180456014688
2020,0.94988,0.847948937041619,1.05181106295838,0.0617797,0.0522021007938669,0.0713572992061331
