ParName   Value   Gradient
MGparm[3]       273.52 -1.58546e-005
MGparm[4]     0.295365  0.000102517
MGparm[5]      -0.9907  0.000128345
MGparm[6]    0.0936504 4.47493e-006
MGparm[7]    0.0640101 -3.19823e-007
SR_parm[1]      6.66517  0.000493605
SR_parm[2]     0.530744 1.55234e-005
SR_parm[3]     0.651851 -3.83753e-005
recdev1(1961)      1.32151 9.36534e-005
recdev1(1962)    -0.316248 7.73037e-006
recdev1(1963)     0.445587 3.72163e-005
recdev1(1964)    -0.510929 8.40501e-006
recdev1(1965)    -0.613414 1.04941e-005
recdev1(1966)    -0.169067 3.21077e-005
recdev1(1967)    -0.375089 1.96101e-005
recdev1(1968)     0.322081 4.24146e-005
recdev1(1969)     0.293565  3.6746e-005
recdev1(1970)    -0.454309 7.72373e-006
recdev1(1971)   -0.0626636 1.39091e-005
recdev1(1972)       1.2041 7.33115e-005
recdev1(1973)     0.470786 2.82607e-005
recdev1(1974)    -0.336394 3.84117e-006
recdev1(1975)    -0.599636 -1.35282e-006
recdev1(1976)    -0.642343 -2.69118e-006
recdev1(1977)    -0.936995 -6.22065e-006
recdev1(1978)     -0.53505 -4.03224e-006
recdev1(1979)    -0.467464 -4.74896e-006
recdev1(1980)    -0.845634 -8.13582e-006
recdev1(1981)     0.312198 1.36153e-006
recdev1(1982)   -0.0459153 -4.77197e-006
recdev1(1983)    -0.438153 -8.15088e-006
recdev1(1984)    0.0584166 -5.34445e-006
recdev1(1985)     -0.32272 -8.4004e-006
recdev1(1986)     0.177735 -6.36148e-006
recdev1(1987)    -0.560701 -1.04278e-005
recdev1(1988)    -0.164864 -9.30365e-006
recdev1(1989)     0.899569 -2.58539e-006
recdev1(1990)    -0.152843 -1.02166e-005
recdev1(1991)     0.434203 -7.77494e-006
recdev1(1992)    -0.959642 -1.19319e-005
recdev1(1993)     0.364945 -8.62417e-006
recdev1(1994)      1.12358 -5.37276e-006
recdev1(1995)      -0.4521 -1.22559e-005
recdev1(1996)    -0.222531 -1.2345e-005
recdev1(1997)      0.22218 -1.17811e-005
recdev1(1998)    -0.027359 -1.21163e-005
recdev1(1999)      0.23755 -1.12254e-005
recdev1(2000)     0.424486 -1.11652e-005
recdev1(2001)     0.391803 -1.14834e-005
recdev1(2002)   -0.0358299 -1.24083e-005
recdev1(2003)      1.37485 -8.89497e-006
recdev1(2004)    -0.959767 -1.29973e-005
recdev1(2005)      0.90736 -1.09841e-005
recdev1(2006)    -0.360888 -1.33179e-005
recdev1(2007)   -0.0244185 -1.35253e-005
recdev1(2008)      1.00462 -1.24245e-005
recdev1(2009)      0.35357 -1.26928e-005
recdev1(2010)    -0.862274 -1.34342e-005
recdev1(2011)     0.302146 -1.36913e-005
recdev1(2012)    0.0134682 -1.37255e-005
recdev1(2013)    -0.724035 -1.36264e-005
recdev1(2014)   -0.0862713 -1.36322e-005
recdev1(2015)     0.282353 -1.37073e-005
recdev1(2016)     0.483936 -1.36953e-005
recdev1(2017)    -0.161055 -1.37908e-005
init_F[1]    0.0121632 -6.85645e-006
init_F[2]   0.00223997 -3.05197e-006
Q_parm[7]     -4.77997 4.32702e-006
Q_parm[9]     -4.22655 5.56191e-006
Q_parm[10]     -6.29992 5.54078e-006
Q_parm[11]     -6.74964 4.30961e-006
Q_parm[14]      0.11368 -2.61481e-006
Q_parm[15]   -0.0921203 -3.13554e-006
Q_parm[16]    -0.215433 -2.97854e-006
Q_parm[17]   -0.0345518 -3.70984e-006
selparm[1]      222.931 2.57025e-007
selparm[2]     -11.7344 -1.23147e-007
selparm[3]      7.10803 4.07843e-007
selparm[4]      5.68888 5.98543e-007
selparm[6]     -3.02854 1.67541e-006
selparm[7]      213.747 3.10235e-006
selparm[8]     -11.6102 1.06512e-008
selparm[9]      8.04444 -2.40691e-006
selparm[10]      7.09724 2.21601e-006
selparm[12]     -2.50917 2.84238e-006
selparm[13]      242.583 -5.23418e-006
selparm[14]      -11.821 -1.64374e-008
selparm[15]      7.45348 -4.69208e-008
selparm[18]     0.266667 -3.98334e-007
selparm[19]      232.766 3.26177e-006
selparm[20]     -11.8783 -2.79753e-008
selparm[21]      6.60307 -9.85327e-007
selparm[22]      6.18909 2.70594e-006
selparm[24]     -3.62472 1.26233e-006
selparm[25]       74.265  0.000112673
selparm[27]      4.72111 -5.34243e-005
selparm[31]      212.097 3.48278e-006
selparm[32]     -2.22181 2.30123e-006
selparm[33]      6.82631 -2.82578e-007
selparm[36]      -4.0589 1.02542e-006
selparm[37]       124.85 3.09962e-006
selparm[38]      -2.2903  1.7856e-006
selparm[40]      7.41849 3.70673e-006
selparm[43]       270.26 5.71687e-007
selparm[44]     -12.1063 -5.30526e-008
selparm[45]      7.83153 -5.55232e-007
selparm[46]      4.87465 3.17082e-007
selparm[48]     -2.53601 2.23907e-007
selparm[49]      192.096 1.54459e-006
selparm[50]      -1.2305 5.12382e-007
selparm[51]      5.73837 -8.10145e-007
selparm[52]      7.29578 4.28225e-007
selparm[54]     -2.96144 3.77132e-007
selparm[57]      112.673 -9.1219e-007
selparm[58]     -1.94095 -8.29855e-006
selparm[60]     -3.09476 -1.53026e-008
selparm[63]      194.502 2.10546e-006
selparm[64]    -0.250563 5.63419e-006
selparm[65]      6.66642 -9.57686e-007
selparm[68]     -1.73921 2.72507e-006
selparm[71]       209.84 6.51164e-006
selparm[72]     -3.79904 1.23508e-006
selparm[73]      6.59013 -2.03396e-006
selparm[74]      7.80226 4.76422e-006
selparm[76]     -3.69762 9.13631e-007
selparm[79]      250.415 -1.10668e-006
selparm[80]     -11.5422 6.44861e-008
selparm[81]      7.33289 2.21238e-006
selparm[82]      6.28815 5.12441e-007
selparm[84]     -2.92758 1.11551e-007
selparm[85]      244.834 3.32027e-007
selparm[86]      14.5902 -3.03339e-011
selparm[99]      165.409 3.67899e-005
selparm[102]     -3.32185 9.66855e-006
selparm[104]      7.47334  3.1255e-005
selparm[105]     -6.23139 2.47153e-006
selparm[106]      83.7536 4.81645e-006
selparm[107]     -1.16241 -3.03688e-009
selparm[110]      296.359 -3.26075e-006
selparm[111]     -6.08587 -5.84032e-009
selparm[113]      1.70558 4.74171e-009
parm_dev[1](2011)    -0.756977 -4.52928e-007
parm_dev[1](2012)      0.37365 -4.28841e-007
parm_dev[1](2013)     0.469392 2.71982e-006
parm_dev[1](2014)    0.0333189 3.00255e-006
parm_dev[1](2015)    0.0551115 2.50047e-006
