ParName   Value   Gradient
MGparm[3]      272.673 -1.14895e-005
MGparm[4]     0.296915 5.38505e-005
MGparm[5]    -0.993324 6.73366e-005
MGparm[6]    0.0955901 2.30061e-006
MGparm[7]    0.0640098  -1.808e-006
SR_parm[1]      6.63885  0.000262358
SR_parm[2]     0.516269 6.99455e-006
SR_parm[3]     0.632016 -1.96301e-005
recdev1(1961)      1.34239 5.26044e-005
recdev1(1962)    -0.295528 7.19795e-006
recdev1(1963)     0.442387 1.96287e-005
recdev1(1964)    -0.465468  5.4283e-006
recdev1(1965)    -0.603342 5.50497e-006
recdev1(1966)    -0.176983 1.52314e-005
recdev1(1967)    -0.340294 1.00061e-005
recdev1(1968)     0.313669 1.93099e-005
recdev1(1969)     0.346209 1.88709e-005
recdev1(1970)    -0.433262 4.35302e-006
recdev1(1971)    -0.078573 5.21357e-006
recdev1(1972)      1.21916  3.1764e-005
recdev1(1973)      0.50719 1.69564e-005
recdev1(1974)     -0.32041 4.84358e-007
recdev1(1975)    -0.572173 -5.25689e-007
recdev1(1976)    -0.607771 -1.35451e-006
recdev1(1977)    -0.907785 -3.13594e-006
recdev1(1978)    -0.507888 -1.57858e-006
recdev1(1979)    -0.426441 -1.92812e-006
recdev1(1980)    -0.822419 -3.63784e-006
recdev1(1981)      0.34938 3.49554e-006
recdev1(1982)    0.0144168 -9.62889e-007
recdev1(1983)    -0.409653 -3.57647e-006
recdev1(1984)     0.111028 -1.13784e-006
recdev1(1985)    -0.261608 -3.54754e-006
recdev1(1986)     0.278258 -2.08199e-006
recdev1(1987)    -0.409534 -5.36825e-006
recdev1(1988)   -0.0957877 -5.39557e-006
recdev1(1989)      1.00928 -2.82359e-006
recdev1(1990)   -0.0787556 -5.76961e-006
recdev1(1991)      0.49066 -4.49904e-006
recdev1(1992)    -0.896064 -6.45571e-006
recdev1(1993)     0.364986 -5.08544e-006
recdev1(1994)      1.13511 -3.34986e-006
recdev1(1995)    -0.443864 -6.00411e-006
recdev1(1996)    -0.259481   -6.02e-006
recdev1(1997)     0.237773 -4.57162e-006
recdev1(1998)   -0.0479266 -5.30486e-006
recdev1(1999)     0.227038 -5.10999e-006
recdev1(2000)     0.384079 -5.44682e-006
